round,score,global_rmse,local_rmse,p95_abs,weighted_coverage,improved
0,-0.00045981782855120633,0.0008305806137891582,0.00144008972915969,0.002014655910988366,15.092530586659962,
1,-0.0004960391486204937,0.0008309498342708707,0.0014446582257341013,0.002021132068798166,15.30289426886143,True
2,-0.0005637906570872264,0.0008062826394769694,0.001412894554445698,0.0019449023602484275,15.327733809495165,True
3,-0.0006126622783261494,0.0008013208803796828,0.001404175312997325,0.0019264993995150989,15.494967671513109,True
4,-0.0006126622783261494,0.0008013208803796828,0.001404175312997325,0.0019264993995150989,15.494967671513109,False
5,-0.0006207638639686608,0.0007963824851269922,0.0013951792324831645,0.001902043345147349,15.45680714037725,True
6,-0.0006252669248915034,0.0007970513878618039,0.0013977301719540149,0.0019021709777628298,15.497972595490625,True
7,-0.0006783185939989709,0.000790983313607725,0.0013847489497397487,0.0018754248998087567,15.655003236471972,True
8,-0.0006783185939989709,0.000790983313607725,0.0013847489497397487,0.0018754248998087567,15.655003236471972,False
9,-0.0007680150210198446,0.0007790437127853664,0.001307271015966224,0.0017085651809684082,15.578919764823398,True
10,-0.0008037752648482437,0.0007670113346198546,0.0012828564226885122,0.0016402160329641834,15.551071533471562,True
11,-0.0008542347126015322,0.0007768054918477237,0.0012503568396280626,0.0016893481985005955,15.657342060014654,True
12,-0.000870739802818269,0.0007716337486466906,0.0012472062706968578,0.0016938502160045573,15.695105381505943,True
