round,score,global_rmse,local_rmse,p95_abs,weighted_coverage,improved
0,0.0008727843292120389,0.0012269885055919817,0.0021267958401540764,0.00277965410657977,14.53179592282417,
1,0.000560134155557787,0.001188035923469779,0.0019142987900249522,0.0025739739826873614,14.625301579709673,True
2,0.0004935974586644551,0.0011849579546629086,0.0019079551198325677,0.002545075549603525,14.904533198987671,True
3,0.0004523579050496034,0.0011672884064705357,0.0018804861214269184,0.002524615658559847,14.85756923566617,True
4,0.00034375668688572817,0.0011475224730404764,0.001856891441987062,0.0024543801449639297,15.160177582696113,True
5,0.00026136381838436475,0.001130493193708243,0.0018378201179818576,0.00242777524639436,15.372567584510538,True
6,-0.001301136486684755,0.0006568451165993738,0.0008856350426166286,0.001686157456925269,15.103718272120416,True
7,-0.0013234869279758477,0.0006534106984411302,0.0008808110540257495,0.0016764244781699935,15.169354456239386,True
8,-0.0013753271433763828,0.0006523852235024848,0.0008804164448891924,0.0016687675302461801,15.42106050372949,True
9,-0.0013938828963664589,0.0006618593510953545,0.0008563795854043849,0.0017149199607560527,15.416988749735376,True
10,-0.001403029270135447,0.0006309681142398769,0.0008455302167654208,0.0015860972093214134,15.243168222469142,True
11,-0.0014043484383567343,0.0006309624827109203,0.0008434304826640029,0.001573525548332508,15.23713750132229,True
12,-0.0014043484383567343,0.0006309624827109203,0.0008434304826640029,0.001573525548332508,15.23713750132229,False
13,-0.0014582824659742258,0.0006504872093614883,0.0008407929698766806,0.0015735674978905921,15.588606195938654,True
14,-0.0014844847520598518,0.0006463961829586796,0.0008091267534016095,0.0015182479299138119,15.509165195502314,True
