round,score,global_rmse,local_rmse,p95_abs,weighted_coverage,improved
0,-0.0028770292031641827,7.110302248549942e-05,0.00012725265913127623,0.00015722885223941026,15.504177083036067,
1,-0.002884487462860246,7.092035070081033e-05,0.00012716582243786225,0.00015720918024353316,15.540034002432455,True
2,-0.002884487462860246,7.092035070081033e-05,0.00012716582243786225,0.00015720918024353316,15.540034002432455,False
3,-0.0029217169577035545,7.113212432879071e-05,0.00012670373584368339,0.0001575011614083487,15.724467825223824,True
4,-0.0029450711524044355,7.117601600132978e-05,0.00012678450514215774,0.00015757877309829265,15.841942872881773,True
5,-0.002979422862244852,6.0111795218862704e-05,9.882299072420018e-05,0.00013313080119554564,15.790611231663775,True
6,-0.002979422862244852,6.0111795218862704e-05,9.882299072420018e-05,0.00013313080119554564,15.790611231663775,False
7,-0.0029937309561264835,6.167973042463666e-05,9.852042178453399e-05,0.00013277444334309943,15.868175963462804,True
8,-0.003010478625891072,5.809419355204048e-05,8.911523192382088e-05,0.00012307543791028876,15.877555488758487,True
9,-0.0030333011960064897,5.5458081743171365e-05,8.246370311136351e-05,0.0001178730102548573,15.938578607416487,True
10,-0.0030405355442732454,5.5379033449750585e-05,8.154282419945444e-05,0.00011737023287834475,15.968829833811707,True
11,-0.003066161537033274,5.539809590934836e-05,8.1519858000758e-05,0.00011716927198004523,16.09691731271766,True
12,-0.0030768392463005048,6.381195074210889e-05,8.137941659055911e-05,0.0001521804136260983,16.191532484756422,True
