round,score,global_rmse,local_rmse,p95_abs,weighted_coverage,improved
0,0.0009758958989885425,0.0012902760943163199,0.002163379515993959,0.00288783260322117,14.55217807260264,
1,0.0009404689334926936,0.0012914078363458151,0.002143306578702112,0.002861630725031373,14.614533986478278,True
2,0.0009277444079223611,0.001298016458000967,0.002132399599654487,0.0029126784880995505,14.645757848319953,True
3,0.0008860727001491504,0.001285376456881767,0.002120775981082041,0.0028650150367231023,14.721174670155328,True
4,0.0008753595966707814,0.0012909300430559998,0.0021214860043503414,0.0029158469389435216,14.80676825802814,True
5,0.0007584141401336497,0.0012151516045228817,0.002080889891561208,0.002750992420875802,14.769026671313405,True
6,0.0007554081587757581,0.001211125609836598,0.002080350499581473,0.0027556454347538463,14.760690252793037,True
7,0.0007099011387225792,0.0011911041615638388,0.002059382892586412,0.002658383979339574,14.76231246972477,True
8,0.0004341456679271354,0.0011234811694433309,0.0018957881200872165,0.002590813343243268,14.821406228104276,True
9,0.0004323063249216568,0.0011272674680730852,0.0018973835387179126,0.00259947776774947,14.859106948064618,True
10,0.00042567384897976507,0.0011497251245119184,0.0019083848315822615,0.0026780357307086625,15.070565367154334,True
11,0.0002951581839200504,0.0011262018446823886,0.00182510047388637,0.00259649416566066,15.10582114712991,True
12,0.0002951581839200504,0.0011262018446823886,0.00182510047388637,0.00259649416566066,15.10582114712991,False
13,0.000290690317503361,0.001125055447255551,0.001825029766707788,0.002598906997495848,15.122004249007677,True
14,0.00018799927934137067,0.0011229485108143376,0.0017477725999933973,0.0025114087323042334,15.161381757325215,True
