round,score,global_rmse,local_rmse,p95_abs,weighted_coverage,improved
0,0.0003903463398685762,0.001075213647050739,0.001962532514293189,0.00231377230565164,15.19953162166995,
1,0.00036321369171126014,0.0010661333331487173,0.001950526047990964,0.0023159388184347852,15.21775449513307,True
2,0.0002865218385188521,0.0010392445464960473,0.001903501579227253,0.0022500410886939085,15.184623015249494,True
3,5.849536693288814e-05,0.000967348173763186,0.0017765451519943436,0.002085969534223119,15.20353494611755,True
4,-2.1568640612086402e-05,0.0009511292754983462,0.0017278358667236929,0.0019426003166440418,15.230504780894318,True
5,-0.00011525682417938467,0.0009483820139372794,0.0016526709822652452,0.0018861670239093825,15.23422008417479,True
6,-0.0007755364718283644,0.0008276528841278131,0.001218730867588858,0.0017606399618856315,15.328331985314033,True
7,-0.0007755364718283644,0.0008276528841278131,0.001218730867588858,0.0017606399618856315,15.328331985314033,False
8,-0.000811699818979595,0.0008185248387128034,0.0012022769542880615,0.0017335234439186577,15.36478501419036,True
9,-0.0009885483408004743,0.0007629530112156181,0.0011050038272084684,0.0015834433348902027,15.387529723331271,True
10,-0.0010042907684825503,0.0007591552889968271,0.0011028938940304514,0.001583486083558367,15.434593651579595,True
11,-0.0010190459802398633,0.0007548271119830802,0.0010934596754384833,0.001580377106374771,15.430123513745617,True
12,-0.001073518049711689,0.0007388159241376209,0.0010535605804822947,0.001507689338830399,15.383033352140316,True
