round,score,global_rmse,local_rmse,p95_abs,weighted_coverage,improved
0,-0.0022949846214660773,0.00023552279112162437,0.00034870593351927684,0.0004978870372466743,14.74477266405417,
1,-0.002301015018578093,0.00024842408285678086,0.00034480860606661003,0.0005318786161467338,14.816047143574028,True
2,-0.0023012756235231014,0.00024910047240661246,0.00034411587652914775,0.0005313296554873437,14.816575738823456,True
3,-0.002329867512264384,0.0002464943273585237,0.000343733418620225,0.0005317738248488049,14.944209709835885,True
4,-0.0023988612104605426,0.00023590602337148677,0.00031658538300672484,0.0005421628593999216,15.073348467200494,True
5,-0.002401141811223077,0.00023506021641641085,0.0003163271788807708,0.000535261020971282,15.078973211482063,True
6,-0.0024052114139718615,0.00023274918851010111,0.0003163313127170824,0.000529829599983309,15.087790888712307,True
7,-0.0024310886857525217,0.00023511380327619302,0.0003166644431433835,0.0005385739949764212,15.230999104003875,True
8,-0.0024544033493319583,0.0002336968764260708,0.0003146424403305632,0.0005269597148968694,15.328355770773523,True
9,-0.0024544033493319583,0.0002336968764260708,0.0003146424403305632,0.0005269597148968694,15.328355770773523,False
10,-0.0025013539863490914,0.0002196627085184176,0.0002869108724880232,0.00048122614239200353,15.326548709265685,True
11,-0.0025500209939922263,0.00021947678750830832,0.0002867353390915669,0.00047950642855762535,15.567900942052074,True
12,-0.002554735825661718,0.0002168530492763941,0.00027759014294705857,0.00047594565332011694,15.523485232372911,True
13,-0.002554735825661718,0.0002168530492763941,0.00027759014294705857,0.00047594565332011694,15.523485232372911,False
14,-0.0027154472080403724,0.00020008761115262013,0.00020390037145022938,0.000444148272925788,15.801076324666337,True
