round,score,global_rmse,local_rmse,p95_abs,weighted_coverage,improved
0,-0.001715580454540861,0.00038754926441127266,0.0007141756203563761,0.0009032587256157633,14.800702316898924,
1,-0.0017212172172995312,0.00038910863904178367,0.000714405200636259,0.0009076472843755657,14.838060485524126,True
2,-0.0018264878576318296,0.00035987493874230507,0.000650040913171492,0.0008522832976034077,14.832059460899623,True
3,-0.001860004031215917,0.0003610550645542414,0.0006499337501341361,0.0008554955060762889,15.004897979655608,True
4,-0.002002140012158241,0.0003298280522431479,0.0005627805017800916,0.000803874282510657,15.036523332687493,True
5,-0.002084774753784361,0.00031174457075553347,0.0005035582857377027,0.0007653840733029074,15.003946337125688,True
6,-0.00208917844571559,0.0003117261654423611,0.0005035485747532824,0.0007653469830659371,15.02581450430945,True
7,-0.0020915032220359805,0.00031062191897736336,0.0005028792489967639,0.0007640934998579315,15.027901199047301,True
8,-0.0020950288719845524,0.00031158117908529153,0.0005031931860767042,0.0007645744619511188,15.052209371809443,True
9,-0.002135814650312617,0.0003109203316149009,0.0005013951882952134,0.0007549538416018359,15.24204603940887,True
10,-0.002149029546872132,0.0003117281395220671,0.0005013293954474095,0.0007556692834858809,15.311764804655452,True
11,-0.002163210234849779,0.000280330899524304,0.0004928236497373304,0.0006729067387026576,15.174647570294395,True
12,-0.0021852083787110154,0.000271777213685639,0.0004911033141889215,0.0006143903314041042,15.2315478471168,True
