round,score,global_rmse,local_rmse,p95_abs,weighted_coverage,improved
0,-0.002917201378503087,6.68054056810652e-05,0.0001093274883712477,0.00015370515673370118,15.575998851148247,
1,-0.0029308568824028013,6.612225280383948e-05,0.00010493149491727592,0.00014542254054639766,15.614484645536859,True
2,-0.002938374029882528,6.654049309519857e-05,0.00010543149470163538,0.0001462584592881698,15.657161583098446,True
3,-0.0029409341454363085,8.464983437409755e-05,0.00010537476592691915,0.00020320817195753228,15.760168494613545,True
4,-0.002978950178537478,8.787935955181915e-05,0.00010272726649110983,0.00021201263945123863,15.950511289393143,True
5,-0.002990898531819191,8.546294856050808e-05,9.591544606759227e-05,0.00020662252312106302,15.95730007830405,True
6,-0.003019734328852881,8.545308368088626e-05,9.607865270869641e-05,0.00020662190956341323,16.102408978921016,True
7,-0.0030628160564033346,8.358711518086807e-05,9.237957364837895e-05,0.00019174351088437156,16.286293299811287,True
8,-0.0030628160564033346,8.358711518086807e-05,9.237957364837895e-05,0.00019174351088437156,16.286293299811287,False
9,-0.003103179099493899,7.068071340555338e-05,9.124077323684004e-05,0.000160268014186524,16.4167437039183,True
10,-0.0031201315368208356,7.680810236347361e-05,9.503768491552637e-05,0.00017316013609472262,16.554924305414705,True
11,-0.003121814364911751,7.602466895254295e-05,9.12472992432765e-05,0.00017150766455521077,16.536678964781128,True
12,-0.003121814364911751,7.602466895254295e-05,9.12472992432765e-05,0.00017150766455521077,16.536678964781128,False
13,-0.0031408085850964914,7.961394990543094e-05,9.129203564367994e-05,0.00018301140138991118,16.64986488887169,True
14,-0.0031536862987262665,7.720969215853864e-05,8.026022384105694e-05,0.0001754066978188317,16.636041297470367,True
