round,score,global_rmse,local_rmse,p95_abs,weighted_coverage,improved
0,0.0009345018538804827,0.0012902760943163199,0.002163379515993959,0.00288783260322117,14.759148298142938,
1,0.0009137465148370849,0.0012875914258755952,0.0021538997981968315,0.0028663029976669727,14.792623344373542,True
2,0.00089979745584555,0.0012878491736669144,0.0021450837813625856,0.0028284619909013627,14.810761277282335,True
3,0.0007311426414579976,0.0012442603876895084,0.002040642331373896,0.0026431903014184103,14.809442719400929,True
4,0.0006103555211749395,0.001212166829173866,0.0019697771300443995,0.0025248007013218537,14.827719320261028,True
5,0.0005862509509061537,0.0011950853468711109,0.0019627751844875562,0.0024618611710046454,14.820823086750124,True
6,0.0004262812608718542,0.0011544608146770226,0.0019002420547368122,0.002390169495168872,15.042350097446716,True
7,0.00040731946991145324,0.0011487805200860208,0.0018898504350142872,0.0023853783257631687,15.046407860958562,True
8,8.124638208833546e-05,0.0010448002633171403,0.0017045239871527316,0.0022452003728739723,15.044913329060412,True
9,3.6583127749273154e-05,0.001061840937688934,0.0016532394631213465,0.002115032198817037,15.045725828426383,True
10,2.488801787895031e-05,0.0010725132960490269,0.0016648426352665903,0.0021611039073267477,15.227182202449923,True
11,1.706613373176312e-05,0.0010695032843143293,0.0016569043042079519,0.0021558357435947145,15.20361157816054,True
12,6.243216693936193e-06,0.0010724638732877699,0.0016289793920158833,0.0020768569087094985,15.104979635064465,True
