round,score,global_rmse,local_rmse,p95_abs,weighted_coverage,improved
0,-0.00043414928201605026,0.0008305806137891582,0.00144008972915969,0.002014655910988366,14.96418785398418,
1,-0.00046236927447683993,0.0008511237967512705,0.0014251381519253799,0.002010327435025468,15.11829426769283,True
2,-0.0004968444400743214,0.0008382431593427388,0.001408665666355073,0.001972468634648416,15.127431995215739,True
3,-0.0005207563743427884,0.0008182009431040952,0.0013794945596142746,0.0018954051466481808,14.971753944920064,True
4,-0.0005220368721397142,0.0008138252936759925,0.001375703621465344,0.0018955795640958062,14.933532557870597,True
5,-0.0005222881430949726,0.0008061044226731826,0.0013765278979846133,0.001900095136168175,14.901130216748454,True
6,-0.0005803556554225225,0.0007997493285433163,0.0013363397068529054,0.0018954059544615725,14.918563160946626,True
7,-0.0007631776692328717,0.0007593544174639103,0.0012628536111587508,0.0016639366156589392,15.189782100436414,True
8,-0.0007631776692328717,0.0007593544174639103,0.0012628536111587508,0.0016639366156589392,15.189782100436414,False
9,-0.000792412016774091,0.0007458375159062483,0.001244960550797916,0.0016378584974425184,15.161010968189192,True
10,-0.0008134841494423081,0.0007417586320501039,0.0012403986512624582,0.0016348150391356873,15.218605815036808,True
11,-0.0008584686386595057,0.0007465653017981562,0.00123552711756929,0.001621802524140582,15.43833240770405,True
12,-0.0009030534571779969,0.000751111387674373,0.0012191218652684442,0.0016183221521887947,15.585555415872514,True
13,-0.0009532431795734315,0.0007493916745872289,0.0012137167443954345,0.0016195238414618215,15.795474737175908,True
14,-0.0009743035102208778,0.0007825163421465375,0.0011717774497781957,0.0015753184614314686,15.81476396050625,True
