round,score,global_rmse,local_rmse,p95_abs,weighted_coverage,improved
0,0.0008599484719407635,0.0012269885055919817,0.0021267958401540764,0.00277965410657977,14.595975209180548,
1,0.0006631774641962652,0.0011863019752678997,0.0019973312969241595,0.002665485174402123,14.59961033690313,True
2,0.0005325961359744307,0.0011494815659912581,0.00191571782869984,0.0024689311293993104,14.578734122283175,True
3,0.0004945984210586634,0.0011606907680564039,0.0019312888978454555,0.0024893266651342056,14.918195122061434,True
4,0.0004611624517170303,0.001160806976742141,0.0019317394159702544,0.0024893404099565267,15.08865912094708,True
5,0.0004611624517170303,0.001160806976742141,0.0019317394159702544,0.0024893404099565267,15.08865912094708,False
6,0.0004518626202362659,0.0011545943703816968,0.001919611336364922,0.002488112998978881,15.031326768916685,True
7,0.0004482425514361959,0.001152241648007219,0.001916962114816512,0.002477188333030458,15.021768171754188,True
8,0.00028418964851722366,0.0011145243381925167,0.0018110936607732568,0.0023064435693009185,15.018235413016006,True
9,-0.00027993244808189374,0.0008919222613359682,0.0015147861165947447,0.0018305296253933877,14.947990246657776,True
10,-0.000503836266176682,0.000811803995493423,0.0013980374980569355,0.0016007556299477356,14.966426296692138,True
11,-0.0005631797334209238,0.0008081542794873563,0.0013919069205560316,0.0015954027554810255,15.208111587877589,True
12,-0.0008245551131631384,0.0007626807386516227,0.0012118772185254743,0.0016250560100078042,15.207442570226652,True
