round,score,global_rmse,local_rmse,p95_abs,weighted_coverage,improved
0,-0.002921106795036963,5.9017191478181e-05,9.67982047188642e-05,0.00014352803119415856,15.481409160888905,
1,-0.0029400413592711736,5.4679329454717396e-05,8.713557536910498e-05,0.00013142376599002865,15.496416895844083,True
2,-0.0029520454179653454,5.7874245428252234e-05,8.684178427790413e-05,0.00013294555479880323,15.570649022635413,True
3,-0.0029852097680478436,5.805562800230037e-05,8.684310662020955e-05,0.00013294493359683837,15.737385619971977,True
4,-0.003012077205811261,6.003069631845887e-05,8.655123490791646e-05,0.00014369013481189692,15.879846920096096,True
5,-0.003012077205811261,6.003069631845887e-05,8.655123490791646e-05,0.00014369013481189692,15.879846920096096,False
6,-0.003074935921369543,6.000055810192092e-05,8.637127761325213e-05,0.00014329732312161705,16.192910063036834,True
7,-0.003090260071103832,5.989390416455348e-05,8.579791677286325e-05,0.00014334053216111882,16.265557376979107,True
8,-0.003090260071103832,5.989390416455348e-05,8.579791677286325e-05,0.00014334053216111882,16.265557376979107,False
9,-0.0030913739670260986,5.922678356577326e-05,7.897707128930648e-05,0.00014042900027500882,16.226866180695197,True
10,-0.003101930180157681,6.050220937461465e-05,8.035340700021681e-05,0.00014446275051142822,16.29428238966278,True
11,-0.003101930180157681,6.050220937461465e-05,8.035340700021681e-05,0.00014446275051142822,16.29428238966278,False
12,-0.0031109456741302286,6.62392957210252e-05,8.011162893825328e-05,0.0001603762248815633,16.36659462288579,True
13,-0.0031141605847998166,8.732343623921367e-05,8.008961821224978e-05,0.00020763262116079957,16.48795781446865,True
14,-0.0031141605847998166,8.732343623921367e-05,8.008961821224978e-05,0.00020763262116079957,16.48795781446865,False
