family,index,method,theta_high,rmse_high,rmse_low,global_rmse,global_rmse_sq,decomposed_rmse_sq,abs_decomposition_error
edge_rolloff,0,afp_poly_residual_phs,0.19999999999999996,0.0014081075654193852,0.00041062540685715584,0.0007293425380978233,5.319405378789748e-07,5.314439629635454e-07,4.965749154293731e-10
edge_rolloff,0,afp_exchange_poly_residual_phs,0.19999999999999996,0.0011596399121971592,0.00048572188697819455,0.0006767548010185692,4.579970607016832e-07,4.576935463838534e-07,3.0351431782980164e-10
edge_rolloff,1,afp_poly_residual_phs,0.19999999999999996,0.001982594177354746,0.0006494057699993843,0.0010604143988154828,1.1244786972152017e-06,1.123518217702983e-06,9.6047951221879e-10
edge_rolloff,1,afp_exchange_poly_residual_phs,0.19999999999999996,0.0016589767282504096,0.0006746670995356424,0.0009566661181920521,9.152100616966494e-07,9.145813131319556e-07,6.287485646937157e-10
edge_rolloff,2,afp_poly_residual_phs,0.19999999999999996,0.0018698392993009183,0.000649812532647309,0.001018776863768477,1.037906298149934e-06,1.0370648631104378e-06,8.414350394962104e-10
edge_rolloff,2,afp_exchange_poly_residual_phs,0.19999999999999996,0.001456220226653368,0.0007299224249074661,0.0009223770817973665,8.507794810250257e-07,8.503448668091137e-07,4.34614215912e-10
edge_rolloff,3,afp_poly_residual_phs,0.19999999999999996,0.0022269338801665993,0.0006865516259942168,0.0011705374168017825,1.3701578441329899e-06,1.3689294094510154e-06,1.2284346819744977e-09
edge_rolloff,3,afp_exchange_poly_residual_phs,0.19999999999999996,0.0016782560296565716,0.0008436879693330229,0.0010645808025652585,1.1333322851904898e-06,1.1327561718935515e-06,5.761132969383095e-10
edge_rolloff,4,afp_poly_residual_phs,0.19999999999999996,0.0017103212440120713,0.0005667166405813647,0.000917979702566026,8.426867343232095e-07,8.41973952113262e-07,7.127822099475363e-10
edge_rolloff,4,afp_exchange_poly_residual_phs,0.19999999999999996,0.0014380650479649802,0.0005648089041014609,0.0008181028308537849,6.692922418509765e-07,6.688134949575387e-07,4.787468934378778e-10
local_bump,0,afp_poly_residual_phs,0.19999999999999996,0.001990846300222514,0.000361389155375764,0.0009477471381712443,8.982246379117836e-07,8.971754955205008e-07,1.0491423912827777e-09
local_bump,0,afp_exchange_poly_residual_phs,0.19999999999999996,0.0007486198493893254,0.0004958358925322916,0.0005557472706883957,3.08855028877601e-07,3.0876892163857463e-07,8.610723902635417e-11
local_bump,1,afp_poly_residual_phs,0.19999999999999996,0.0020235720397066767,0.00030521197490316867,0.0009458264072374354,8.94587592627675e-07,8.934922396759618e-07,1.0953529517131474e-09
local_bump,1,afp_exchange_poly_residual_phs,0.19999999999999996,0.0008585324373508056,0.0004272496221639831,0.0005418497668900769,2.9360116987883066e-07,2.93449380908116e-07,1.5178897071467217e-10
local_bump,2,afp_poly_residual_phs,0.19999999999999996,0.0013626158906164267,0.0003457837713646848,0.0006837200049087426,4.674730451124111e-07,4.6699754630342714e-07,4.754988089839519e-10
local_bump,2,afp_exchange_poly_residual_phs,0.19999999999999996,0.0012229996423249595,0.0003073611314342856,0.0006124588744870899,3.7510587293799294e-07,3.747223171186471e-07,3.835558193458613e-10
local_bump,3,afp_poly_residual_phs,0.19999999999999996,0.0007259585588451377,0.00014764785151852186,0.0003506869905107737,1.229813653135035e-07,1.2284307627853018e-07,1.3828903497331586e-10
local_bump,3,afp_exchange_poly_residual_phs,0.19999999999999996,0.0007059990533979085,0.0001409008750011564,0.00034014758055236547,1.1570037655562795e-07,1.1556937794062176e-07,1.309986150061871e-10
local_bump,4,afp_poly_residual_phs,0.19999999999999996,0.0018226643839060327,0.000549327124711711,0.0009521848875311794,9.066560600427648e-07,9.058293232271399e-07,8.267368156249192e-10
local_bump,4,afp_exchange_poly_residual_phs,0.19999999999999996,0.0013109724391100852,0.0006731293295323683,0.0008405704200846046,7.065586311212086e-07,7.062122226426057e-07,3.464084786029632e-10
