family,index,seed,method,degree,global_rmse,local_rmse,residual_global_rmse,residual_local_rmse,p95_abs,condition,success
smooth_low_variation,0,20340513,regular_poly_only,5,0.0004724421923297278,0.0005405703275627385,nan,nan,nan,327.43361648915993,True
smooth_low_variation,0,20340513,afp_poly_only,5,0.00045758781039069603,0.00044694384679242,nan,nan,nan,189.91334959241348,True
smooth_low_variation,0,20340513,regular_poly_residual_phs,5,0.00016157078642246387,0.0003166656364262506,0.00016157078642246387,0.0003166656364262506,0.00022624670340309794,327.43361648915993,True
smooth_low_variation,0,20340513,afp_poly_residual_phs,5,0.00010837214393253397,0.00016619955430939294,0.00010837214393253398,0.00016619955430939294,0.00022470314365741597,189.91334959241348,True
smooth_low_variation,0,20340513,hessian_weighted_poly_residual_phs,5,9.499254698662159e-05,0.0001238900410596468,9.499254698662158e-05,0.0001238900410596468,0.0002232632679961173,176.68412374415064,True
smooth_low_variation,0,20340513,afp_exchange_poly_residual_phs,5,7.365490338098046e-05,9.183162766252086e-05,7.365490338098046e-05,9.183162766252088e-05,0.00016052186672451296,225.68688367767527,True
smooth_low_variation,1,20340514,regular_poly_only,5,0.0008199226873054551,0.0011913125979755611,nan,nan,nan,327.43361648915993,True
smooth_low_variation,1,20340514,afp_poly_only,5,0.0006440703044379682,0.0005715205638305251,nan,nan,nan,184.7181991630199,True
smooth_low_variation,1,20340514,regular_poly_residual_phs,5,0.0004146931936710914,0.0008300996659491473,0.0004146931936710915,0.0008300996659491473,0.0007859382876582821,327.43361648915993,True
smooth_low_variation,1,20340514,afp_poly_residual_phs,5,0.00011726336240115117,0.00018457890311305197,0.00011726336240115121,0.00018457890311305197,0.0002587293708178393,184.7181991630199,True
smooth_low_variation,1,20340514,hessian_weighted_poly_residual_phs,5,7.488170257218822e-05,7.928279426081602e-05,7.488170257218822e-05,7.9282794260816e-05,0.000177875467210951,178.55876337950633,True
smooth_low_variation,1,20340514,afp_exchange_poly_residual_phs,5,6.902155070738901e-05,8.470349136085213e-05,6.902155070738897e-05,8.470349136085209e-05,0.00015524650150315362,198.8572532851662,True
smooth_low_variation,2,20340515,regular_poly_only,5,0.0009326343180159117,0.0011673714066172802,nan,nan,nan,327.43361648915993,True
smooth_low_variation,2,20340515,afp_poly_only,5,0.0009368746149790892,0.0011748333704309775,nan,nan,nan,169.84961712714707,True
smooth_low_variation,2,20340515,regular_poly_residual_phs,5,0.0002827642807143474,0.0005330412850800651,0.0002827642807143474,0.0005330412850800651,0.0005080116812088563,327.43361648915993,True
smooth_low_variation,2,20340515,afp_poly_residual_phs,5,0.00025535913117127965,0.00045034244959518265,0.00025535913117127965,0.0004503424495951826,0.00048119171653835855,169.84961712714707,True
smooth_low_variation,2,20340515,hessian_weighted_poly_residual_phs,5,0.00019267570078612497,0.0002482093932033723,0.00019267570078612497,0.0002482093932033723,0.0004293842839028193,188.31058269893109,True
smooth_low_variation,2,20340515,afp_exchange_poly_residual_phs,5,0.00019850771027348242,0.00017056333895162037,0.00019850771027348242,0.00017056333895162037,0.0004228961464457689,181.87606714723046,True
smooth_low_variation,3,20340516,regular_poly_only,5,0.0006438332716834301,0.0007372125410796919,nan,nan,nan,327.43361648915993,True
smooth_low_variation,3,20340516,afp_poly_only,5,0.0006695178678091095,0.0009684696342884225,nan,nan,nan,184.33961861314268,True
smooth_low_variation,3,20340516,regular_poly_residual_phs,5,0.00017402167225519466,0.00031939767202030086,0.00017402167225519466,0.0003193976720203008,0.00033881810670971025,327.43361648915993,True
smooth_low_variation,3,20340516,afp_poly_residual_phs,5,0.0002727843907817601,0.0005542116779894435,0.0002727843907817601,0.0005542116779894434,0.0003426544391777731,184.33961861314268,True
smooth_low_variation,3,20340516,hessian_weighted_poly_residual_phs,5,0.00011061814028765686,0.0001197434384206072,0.00011061814028765687,0.00011974343842060721,0.0002518192003456332,200.1220343575784,True
smooth_low_variation,3,20340516,afp_exchange_poly_residual_phs,5,0.0001022015223095358,0.00011878753067138189,0.00010220152230953578,0.00011878753067138188,0.00021858620576339525,201.9090068497658,True
smooth_low_variation,4,20340517,regular_poly_only,5,0.0009257548389171446,0.001353339562854764,nan,nan,nan,327.43361648915993,True
smooth_low_variation,4,20340517,afp_poly_only,5,0.0007937545698220225,0.0009972960907680037,nan,nan,nan,178.1735686488248,True
smooth_low_variation,4,20340517,regular_poly_residual_phs,5,0.0004401541958963532,0.0009063126014083416,0.0004401541958963532,0.0009063126014083416,0.0006024488957599623,327.43361648915993,True
smooth_low_variation,4,20340517,afp_poly_residual_phs,5,0.00019652503757766276,0.00035966186574672344,0.00019652503757766276,0.00035966186574672344,0.00039065592955334224,178.1735686488248,True
smooth_low_variation,4,20340517,hessian_weighted_poly_residual_phs,5,0.00017311887036964148,0.000234611637885993,0.00017311887036964148,0.000234611637885993,0.0003397363038383338,179.4810960994429,True
smooth_low_variation,4,20340517,afp_exchange_poly_residual_phs,5,0.00012207928531440156,0.00014206651337071266,0.00012207928531440156,0.00014206651337071263,0.000223660029103092,195.51951338501598,True
edge_rolloff,0,20341513,regular_poly_only,5,0.004221952427213408,0.007352907189797407,nan,nan,nan,327.43361648915993,True
edge_rolloff,0,20341513,afp_poly_only,5,0.001377141750923441,0.0019523001390083193,nan,nan,nan,192.15261570254006,True
edge_rolloff,0,20341513,regular_poly_residual_phs,5,0.003820762334598774,0.006684113901529079,0.003820762334598774,0.006684113901529079,0.008922771401219698,327.43361648915993,True
edge_rolloff,0,20341513,afp_poly_residual_phs,5,0.0009356885382779924,0.0015122668582565927,0.0009356885382779924,0.0015122668582565927,0.0021525100536964195,192.15261570254006,True
edge_rolloff,0,20341513,hessian_weighted_poly_residual_phs,5,0.001063214497833659,0.0015612697704224378,0.001063214497833659,0.001561269770422438,0.002251098262487592,194.56225033846158,True
edge_rolloff,0,20341513,afp_exchange_poly_residual_phs,5,0.0009288160943098154,0.0011307801270782863,0.0009288160943098154,0.0011307801270782863,0.0017896210247890308,222.32781203995282,True
edge_rolloff,1,20341514,regular_poly_only,5,0.0036690123376290767,0.007965016936075694,nan,nan,nan,327.43361648915993,True
edge_rolloff,1,20341514,afp_poly_only,5,0.0012481728860720186,0.001864135980983266,nan,nan,nan,173.12489855785134,True
edge_rolloff,1,20341514,regular_poly_residual_phs,5,0.0033203652543406874,0.007296596486406523,0.0033203652543406874,0.007296596486406523,0.007754175094072598,327.43361648915993,True
edge_rolloff,1,20341514,afp_poly_residual_phs,5,0.0007920532671553428,0.001455781842447074,0.000792053267155343,0.001455781842447074,0.0016083281917224864,173.12489855785134,True
edge_rolloff,1,20341514,hessian_weighted_poly_residual_phs,5,0.0009314719063289743,0.0016954799849281787,0.0009314719063289743,0.0016954799849281787,0.00239370155222887,193.6856712141507,True
edge_rolloff,1,20341514,afp_exchange_poly_residual_phs,5,0.0007070129488262314,0.0011355910796568907,0.0007070129488262314,0.0011355910796568907,0.0012657801139467168,199.8065085935612,True
edge_rolloff,2,20341515,regular_poly_only,5,0.0026565076344601483,0.005626685569787796,nan,nan,nan,327.43361648915993,True
edge_rolloff,2,20341515,afp_poly_only,5,0.0008826116402348265,0.0013240308937659334,nan,nan,nan,189.99074636208618,True
edge_rolloff,2,20341515,regular_poly_residual_phs,5,0.002404073585901136,0.005166665791618727,0.002404073585901136,0.005166665791618727,0.005614324357300408,327.43361648915993,True
edge_rolloff,2,20341515,afp_poly_residual_phs,5,0.0006051004679992814,0.0010513175300047156,0.0006051004679992814,0.0010513175300047156,0.0014107017554352134,189.99074636208618,True
edge_rolloff,2,20341515,hessian_weighted_poly_residual_phs,5,0.0005142466260139158,0.0008260582086092619,0.0005142466260139158,0.0008260582086092619,0.0010498576264783097,196.3744785430309,True
edge_rolloff,2,20341515,afp_exchange_poly_residual_phs,5,0.000561822164171059,0.0006601170076777237,0.000561822164171059,0.0006601170076777237,0.0012712893573835814,217.63341079852148,True
edge_rolloff,3,20341516,regular_poly_only,5,0.005450368756382156,0.011768209622495973,nan,nan,nan,327.43361648915993,True
edge_rolloff,3,20341516,afp_poly_only,5,0.0018100900649228187,0.0026986901373717447,nan,nan,nan,170.3536386275833,True
edge_rolloff,3,20341516,regular_poly_residual_phs,5,0.00493244867463721,0.01079868089804618,0.00493244867463721,0.01079868089804618,0.011518934735594566,327.43361648915993,True
edge_rolloff,3,20341516,afp_poly_residual_phs,5,0.0011016440565489655,0.001918041014731536,0.0011016440565489655,0.001918041014731536,0.002383691565098192,170.3536386275833,True
edge_rolloff,3,20341516,hessian_weighted_poly_residual_phs,5,0.0011624063522964357,0.00196453796850512,0.0011624063522964357,0.0019645379685051204,0.0025096201029165786,189.07156730085944,True
edge_rolloff,3,20341516,afp_exchange_poly_residual_phs,5,0.001367305241548073,0.0012543998571054368,0.001367305241548073,0.0012543998571054368,0.0030804142759210127,200.0063990891213,True
edge_rolloff,4,20341517,regular_poly_only,5,0.004598701535219619,0.009957118272444738,nan,nan,nan,327.43361648915993,True
edge_rolloff,4,20341517,afp_poly_only,5,0.0015453936732121659,0.0023300944918407053,nan,nan,nan,184.55091674016077,True
edge_rolloff,4,20341517,regular_poly_residual_phs,5,0.004161710942241135,0.009127843135294455,0.004161710942241135,0.009127843135294455,0.009719001634510137,327.43361648915993,True
edge_rolloff,4,20341517,afp_poly_residual_phs,5,0.0010253016190592884,0.001842611832608133,0.0010253016190592884,0.001842611832608133,0.0022537080753153157,184.55091674016077,True
edge_rolloff,4,20341517,hessian_weighted_poly_residual_phs,5,0.001099764923477597,0.0017811479100943892,0.0010997649234775972,0.0017811479100943892,0.0024853427283426013,195.7401607002085,True
edge_rolloff,4,20341517,afp_exchange_poly_residual_phs,5,0.000899349433454574,0.001336584958063057,0.000899349433454574,0.001336584958063057,0.0016898813316440213,208.11756683739887,True
local_bump,0,20342513,regular_poly_only,5,0.0021416954250883693,0.004037641839872284,nan,nan,nan,327.43361648915993,True
local_bump,0,20342513,afp_poly_only,5,0.0016209841510634322,0.002869373984821883,nan,nan,nan,179.9851812916293,True
local_bump,0,20342513,regular_poly_residual_phs,5,0.0017503294582602471,0.0033985573590726435,0.0017503294582602471,0.0033985573590726435,0.004534389064275044,327.43361648915993,True
local_bump,0,20342513,afp_poly_residual_phs,5,0.0007116710939084205,0.0013150396800111627,0.0007116710939084205,0.0013150396800111629,0.0014102522760520166,179.9851812916293,True
local_bump,0,20342513,hessian_weighted_poly_residual_phs,5,0.000561230748691522,0.0008427692566325132,0.000561230748691522,0.0008427692566325132,0.0012034945807957928,172.3321260353131,True
local_bump,0,20342513,afp_exchange_poly_residual_phs,5,0.0006391527762537271,0.0010421894945373588,0.0006391527762537271,0.0010421894945373588,0.0014485006188317724,191.23826035774042,True
local_bump,1,20342514,regular_poly_only,5,0.00031429427647650647,0.00060068117190003,nan,nan,nan,327.43361648915993,True
local_bump,1,20342514,afp_poly_only,5,0.0002915366501810778,0.0005716464054120806,nan,nan,nan,167.37364502507063,True
local_bump,1,20342514,regular_poly_residual_phs,5,0.00018126897390533471,0.00031265646073291734,0.00018126897390533471,0.00031265646073291734,0.000385257557284242,327.43361648915993,True
local_bump,1,20342514,afp_poly_residual_phs,5,0.00011642519674375453,0.00018591612219095603,0.00011642519674375455,0.00018591612219095603,0.0002614912377842057,167.37364502507063,True
local_bump,1,20342514,hessian_weighted_poly_residual_phs,5,0.00010488470250820709,0.00014679566950869934,0.00010488470250820709,0.00014679566950869934,0.0002444020096971679,186.6054035804409,True
local_bump,1,20342514,afp_exchange_poly_residual_phs,5,8.482412215748182e-05,0.00012729316814402047,8.482412215748182e-05,0.00012729316814402047,0.00018919060190779032,172.9013387708222,True
local_bump,2,20342515,regular_poly_only,5,0.0027598819731695086,0.005166730547834212,nan,nan,nan,327.43361648915993,True
local_bump,2,20342515,afp_poly_only,5,0.0018208934519282577,0.0030525853374532928,nan,nan,nan,180.4900032977948,True
local_bump,2,20342515,regular_poly_residual_phs,5,0.0030631925945879615,0.005859311441915591,0.0030631925945879615,0.005859311441915591,0.0069726697379642235,327.43361648915993,True
local_bump,2,20342515,afp_poly_residual_phs,5,0.001001272482758044,0.0016731896157639928,0.001001272482758044,0.0016731896157639928,0.002218609190697841,180.4900032977948,True
local_bump,2,20342515,hessian_weighted_poly_residual_phs,5,0.0007829464166445725,0.0009292815154737565,0.0007829464166445725,0.0009292815154737565,0.0018440772685943156,190.2732102117326,True
local_bump,2,20342515,afp_exchange_poly_residual_phs,5,0.0008045248182715893,0.0011835964778153395,0.0008045248182715893,0.0011835964778153395,0.001909433310616389,187.51888007889684,True
local_bump,3,20342516,regular_poly_only,5,0.0024754462295225607,0.00433509147831553,nan,nan,nan,327.43361648915993,True
local_bump,3,20342516,afp_poly_only,5,0.0019590985672254964,0.0035405338701865506,nan,nan,nan,171.3903416087674,True
local_bump,3,20342516,regular_poly_residual_phs,5,0.001666936972419901,0.002943288747991588,0.001666936972419901,0.002943288747991588,0.004279656339637223,327.43361648915993,True
local_bump,3,20342516,afp_poly_residual_phs,5,0.0007615404724845594,0.0014524973993031611,0.0007615404724845593,0.0014524973993031611,0.0016742558801492407,171.3903416087674,True
local_bump,3,20342516,hessian_weighted_poly_residual_phs,5,0.0009181653535277588,0.0018597490983724744,0.0009181653535277589,0.0018597490983724746,0.0016795987370637256,175.37977367787758,True
local_bump,3,20342516,afp_exchange_poly_residual_phs,5,0.000519795015159305,0.0007412277186744532,0.000519795015159305,0.0007412277186744533,0.001171094887665317,175.41428323784328,True
local_bump,4,20342517,regular_poly_only,5,0.002158320361783585,0.004031759889983974,nan,nan,nan,327.43361648915993,True
local_bump,4,20342517,afp_poly_only,5,0.0019636316192864125,0.0036610217841653264,nan,nan,nan,177.46867135692472,True
local_bump,4,20342517,regular_poly_residual_phs,5,0.0015067540416253806,0.0028388068589326274,0.0015067540416253806,0.002838806858932627,0.0033577650427333576,327.43361648915993,True
local_bump,4,20342517,afp_poly_residual_phs,5,0.0012429218450678984,0.002156109858559106,0.0012429218450678984,0.002156109858559106,0.0028734060572519603,177.46867135692472,True
local_bump,4,20342517,hessian_weighted_poly_residual_phs,5,0.0008361595557793876,0.001109685386436671,0.0008361595557793876,0.001109685386436671,0.002017067442895409,180.90982073155638,True
local_bump,4,20342517,afp_exchange_poly_residual_phs,5,0.0010828010280311642,0.0017511195725275176,0.0010828010280311642,0.0017511195725275176,0.0020099625464794005,190.02869739021375,True
mid_frequency,0,20343513,regular_poly_only,5,0.002975858819923452,0.004409415188633233,nan,nan,nan,327.43361648915993,True
mid_frequency,0,20343513,afp_poly_only,5,0.002527231799498797,0.0039321353713288,nan,nan,nan,177.32306690558906,True
mid_frequency,0,20343513,regular_poly_residual_phs,5,0.0012857052906741296,0.0021389520773410224,0.0012857052906741296,0.002138952077341023,0.002631256114200236,327.43361648915993,True
mid_frequency,0,20343513,afp_poly_residual_phs,5,0.0007087439408485564,0.0012884423208600895,0.0007087439408485564,0.0012884423208600895,0.0014777857009705547,177.32306690558906,True
mid_frequency,0,20343513,hessian_weighted_poly_residual_phs,5,0.0006576314868931932,0.0009172516078147975,0.0006576314868931932,0.0009172516078147975,0.001579103282703998,174.60061784533846,True
mid_frequency,0,20343513,afp_exchange_poly_residual_phs,5,0.0005349175015086479,0.0006606183677353149,0.0005349175015086479,0.000660618367735315,0.0012450412378110626,221.51373941140693,True
mid_frequency,1,20343514,regular_poly_only,5,0.0014685095544764504,0.001709037314709845,nan,nan,nan,327.43361648915993,True
