family,index,seed,method,degree,global_rmse,local_rmse,p95_abs,condition
smooth_low_variation,0,20330513,regular_grid,3,0.0019878924009093892,0.002581700610563093,0.0036973607467005376,24.94365478273628
smooth_low_variation,0,20330513,regular_grid,5,0.0014725269762291928,0.0024219644460635437,0.0027275080106336667,327.43361648915993
smooth_low_variation,0,20330513,regular_grid,7,0.002076462996681346,0.004311015168298076,0.004023409999375129,7676.108739186785
smooth_low_variation,0,20330513,regular_grid,9,0.000592144120600973,0.0011169850856608584,0.0008983321877584901,7.740388647875343e+17
smooth_low_variation,0,20330513,regular_grid,11,0.0005532150985801249,0.0011189844088382646,0.0009853786145996668,4.049534361189323e+17
smooth_low_variation,0,20330513,random_uniform,3,0.002345524205887533,0.0033233725953896345,0.004956405074008624,23.787247683471534
smooth_low_variation,0,20330513,random_uniform,5,0.0046109844106944405,0.00842088499233128,0.004616606244215833,273.39383194305395
smooth_low_variation,0,20330513,random_uniform,7,0.0068154684671587005,0.013017651349595587,0.004249335601316802,6238.355865826184
smooth_low_variation,0,20330513,random_uniform,9,0.0042177220885815945,0.008444257587012997,0.001690784562929154,579856.9187677898
smooth_low_variation,0,20330513,random_uniform,11,0.003641928437225527,0.006510496531849522,0.004371635008329848,3639830.7984323055
smooth_low_variation,0,20330513,jittered_grid,3,0.002002275947235513,0.0024276246275766393,0.0036961383374114628,27.71112621495503
smooth_low_variation,0,20330513,jittered_grid,5,0.001707999031682268,0.003123518072527894,0.0029474556061733414,334.4299078276515
smooth_low_variation,0,20330513,jittered_grid,7,0.0005423537734738077,0.0009374019879577958,0.0007381259038384312,6193.549110497018
smooth_low_variation,0,20330513,jittered_grid,9,0.0018845082169870594,0.00399477135694945,0.001589702248336765,147820.0997905831
smooth_low_variation,0,20330513,jittered_grid,11,0.000903941046673534,0.001896723850208696,0.000869691027306079,317569.9176523841
smooth_low_variation,0,20330513,afp_baseline,3,0.0019827968093662786,0.0026241935418528095,0.0036259164405382004,18.133381676753835
smooth_low_variation,0,20330513,afp_baseline,5,0.0011674892389766187,0.0014326843417506612,0.002091290970574987,187.84068037714817
smooth_low_variation,0,20330513,afp_baseline,7,0.0005192622578748098,0.0007254633211586498,0.0010644496911608055,2097.637628235591
smooth_low_variation,0,20330513,afp_baseline,9,0.0003243826243287402,0.0005090380503718019,0.0007084205954241878,59955.87539364976
smooth_low_variation,0,20330513,afp_baseline,11,0.0006769989369486885,0.0014082174669857361,0.0009655424619285083,166476.20620260277
smooth_low_variation,0,20330513,hessian_weighted,3,0.001975332224724059,0.002509996267900865,0.003628962355925139,17.062212639410976
smooth_low_variation,0,20330513,hessian_weighted,5,0.0012282399966730168,0.0014990850775762968,0.002234547683639317,197.24514303143252
smooth_low_variation,0,20330513,hessian_weighted,7,0.0004334536073396267,0.0005296031296909735,0.0008360510587631154,2493.6705801546996
smooth_low_variation,0,20330513,hessian_weighted,9,0.00024275930443615483,0.00027500922876942115,0.0005908671645235852,44363.66815408162
smooth_low_variation,0,20330513,hessian_weighted,11,0.0004147762296193405,0.0006972390963391872,0.0008897793532685588,129915.99627396889
smooth_low_variation,0,20330513,afp_exchange,3,0.0020166135157088567,0.002412315621886544,0.003835628913904574,18.270736869758093
smooth_low_variation,0,20330513,afp_exchange,5,0.0012020696875051518,0.0014619441921476474,0.0023107232612945955,189.57646575788763
smooth_low_variation,0,20330513,afp_exchange,7,0.0005130202949554483,0.0008102311594618078,0.0008140113908386964,1994.0857372232792
smooth_low_variation,0,20330513,afp_exchange,9,0.00044159624699701897,0.0007279738101277002,0.0009015164520312945,33002.551093225404
smooth_low_variation,0,20330513,afp_exchange,11,0.0012343608049563066,0.0017785536535101958,0.002443102436286898,218057.42139380943
smooth_low_variation,1,20330514,regular_grid,3,0.0012823970558087212,0.0010654685249580755,0.0025154761819216045,24.94365478273628
smooth_low_variation,1,20330514,regular_grid,5,0.0006950089364389329,0.001131753469967582,0.0011877434209320175,327.43361648915993
smooth_low_variation,1,20330514,regular_grid,7,0.001029172760160146,0.0021173359950763114,0.002248083809568433,7676.108739186785
smooth_low_variation,1,20330514,regular_grid,9,0.00033366563694527975,0.0006725385229129111,0.000409373968892816,7.740388647875343e+17
smooth_low_variation,1,20330514,regular_grid,11,0.00038893607848651795,0.0007974432804109222,0.0005269205448739499,4.049534361189323e+17
smooth_low_variation,1,20330514,random_uniform,3,0.001564988013392264,0.0020236029208718204,0.0028162330081359394,26.782729424488625
smooth_low_variation,1,20330514,random_uniform,5,0.0016310195367907404,0.0030234128852362537,0.0017424054330847328,341.6092769946536
smooth_low_variation,1,20330514,random_uniform,7,0.0012725652707906883,0.0025072832777767954,0.0013223025130084136,8022.685634600243
smooth_low_variation,1,20330514,random_uniform,9,0.0002673414154531991,0.0005376753559932442,0.0003906221541779588,377222.91821851145
smooth_low_variation,1,20330514,random_uniform,11,0.0005217549199437252,0.0010295164458671911,0.0008124078232066173,1585325.365542602
smooth_low_variation,1,20330514,jittered_grid,3,0.0013170566162430386,0.00140708261424327,0.0025844216974605515,27.138140122480234
