family,index,method,global_rmse,local_rmse,runtime_sec,global_improvement_over_afp,local_improvement_over_afp
smooth_low_variation,0,afp_baseline,0.00012143288925914492,0.00023883282996543898,0.0030886000022292137,0.0,0.0
smooth_low_variation,0,hessian_weighted,0.00013708026287972432,0.00020850552340773363,0.003220799961127341,-0.1288561419895642,0.12698131392612128
smooth_low_variation,0,full_exchange,0.00011572316469699434,0.00011319545478898721,9.37614800001029,0.047019589149078785,0.526047341124051
smooth_low_variation,0,nn_predicted_init,9.005078892943362e-05,0.00015849930445179192,0.003106200019828975,0.2584316367762613,0.3363588059701506
smooth_low_variation,0,nn_predicted_plus_short_exchange,0.00011022684542934654,0.00014652480126069184,7.7134890999877825,0.09228178542210277,0.38649639883304504
smooth_low_variation,1,afp_baseline,4.363092684905447e-05,7.758258816583433e-05,0.0032417000038549304,0.0,0.0
smooth_low_variation,1,hessian_weighted,3.979537019435328e-05,7.085743668332405e-05,0.0034408000065013766,0.08790912620239945,0.08668377327313616
smooth_low_variation,1,full_exchange,3.4750680822444595e-05,5.483901707618661e-05,8.271077399956994,0.2035309966559264,0.29315303378424146
smooth_low_variation,1,nn_predicted_init,4.423973375049127e-05,8.725443867806444e-05,0.003490299917757511,-0.013953563341503772,-0.12466522116478426
smooth_low_variation,1,nn_predicted_plus_short_exchange,3.264437491974277e-05,5.8018647176973164e-05,4.687787699978799,0.2518065217207228,0.25216922316438906
edge_rolloff,0,afp_baseline,0.0008672714501011392,0.0015524429122327707,0.0030944999307394028,0.0,0.0
edge_rolloff,0,hessian_weighted,0.0011330310662719108,0.0016443319413228766,0.0033372000325471163,-0.30643187451838677,-0.05918995691632121
edge_rolloff,0,full_exchange,0.000791610485898546,0.0011445844545017302,7.445693199988455,0.08724023394724888,0.2627204224498317
edge_rolloff,0,nn_predicted_init,0.0009588775869413924,0.0015779331624744908,0.0031414999393746257,-0.10562568020608815,-0.01641944450315359
edge_rolloff,0,nn_predicted_plus_short_exchange,0.0008589007956421245,0.0014671713938473837,4.960118300048634,0.009651712226937186,0.054927313406163754
edge_rolloff,1,afp_baseline,0.0014161925482353407,0.0026806893446125225,0.0031322999857366085,0.0,0.0
edge_rolloff,1,hessian_weighted,0.0017307285058872576,0.0028260227109259454,0.0031101000495254993,-0.22209971238999046,-0.05421492296580523
edge_rolloff,1,full_exchange,0.001392582252884602,0.0018437464234193574,12.128702600020915,0.016671670374313545,0.31221182822813814
edge_rolloff,1,nn_predicted_init,0.0015714088825034974,0.002881061982770441,0.0030866999877616763,-0.10960115166653388,-0.0747466835575761
edge_rolloff,1,nn_predicted_plus_short_exchange,0.0013283550717478989,0.0019264282919867178,4.133667099988088,0.062023682158822625,0.28136831824309305
local_bump,0,afp_baseline,0.0009692505682080308,0.0018234292843538025,0.00312330003362149,0.0,0.0
local_bump,0,hessian_weighted,0.0007638192959037985,0.0012667220191047053,0.003090200014412403,0.2119485704135697,0.3053078449633359
local_bump,0,full_exchange,0.0008478627676630441,0.0010799266571925538,8.265321500017308,0.12523882319657628,0.4077496361065275
local_bump,0,nn_predicted_init,0.001073130748376038,0.002067223576463602,0.0030962000600993633,-0.10717577433053552,-0.1337009853914882
local_bump,0,nn_predicted_plus_short_exchange,0.000839764143684889,0.0017345885240352152,3.8574667999055237,0.13359437566545754,0.04872180187128631
local_bump,1,afp_baseline,0.00044438707610711684,0.0007861567272107401,0.003383900038897991,0.0,0.0
local_bump,1,hessian_weighted,0.0004963047128577594,0.0007506523327465721,0.0030311000300571322,-0.11682976292975751,0.04516198009287083
local_bump,1,full_exchange,0.00030510773043451993,0.00040765922549697916,7.7358741000061855,0.31341898349677577,0.4814529833722322
local_bump,1,nn_predicted_init,0.0004088031418760736,0.0005116313351775691,0.003109100041911006,0.08007418789664784,0.3491993167916767
local_bump,1,nn_predicted_plus_short_exchange,0.00021008340022789308,0.00028842015741809837,7.162858700030483,0.5272513276753041,0.633126388879983
mid_frequency,0,afp_baseline,0.00022667896534963526,0.0004607432932368821,0.0036962999729439616,0.0,0.0
mid_frequency,0,hessian_weighted,0.00017331943176848252,0.0003160934331910363,0.0037046000361442566,0.2353969345980103,0.3139489215993361
mid_frequency,0,full_exchange,0.00011165258952513579,0.00015476563434985865,13.778503199922852,0.5074417718780387,0.6640957413344507
mid_frequency,0,nn_predicted_init,0.00021062880228969622,0.0004398949458819583,0.003189499955624342,0.07080570107236406,0.04524937782264156
mid_frequency,0,nn_predicted_plus_short_exchange,0.00017799616656666103,0.00035890148946026844,7.162512199953198,0.21476540052088502,0.22103806017693609
mid_frequency,1,afp_baseline,0.00017298327163017916,0.00031403696782069215,0.003159899963065982,0.0,0.0
mid_frequency,1,hessian_weighted,0.00022779076402760292,0.0003399692726572934,0.003088400000706315,-0.31683695123188943,-0.08257723610236874
mid_frequency,1,full_exchange,0.0001755171568938461,0.00020026570768279475,12.967194700031541,-0.014648152042609802,0.36228620129480477
mid_frequency,1,nn_predicted_init,0.0002543333660114429,0.0004630085362045032,0.003104100003838539,-0.470277233252832,-0.4743758972633769
mid_frequency,1,nn_predicted_plus_short_exchange,0.00016235641621671143,0.00027847677330455466,4.411548599950038,0.06143285020176328,0.1132356956663826
