family,index,method,n_points,degree,global_rmse,local_rmse,low_rmse,p95_abs,condition,success
smooth_low_variation,0,afp_poly_only,64,5,5.7383846407154206e-05,8.218577756894195e-05,4.925470307064024e-05,0.0001145244152068263,194.0584191614393,True
smooth_low_variation,0,afp_poly_residual_phs,64,5,2.045879214187189e-05,3.6385204512485903e-05,1.3850798256312769e-05,4.5884538013776755e-05,194.0584191614393,True
smooth_low_variation,0,hessian_weighted_poly_residual_phs,64,5,1.6180435352459307e-05,2.3162534817857938e-05,1.3892977716621445e-05,3.775863953585471e-05,209.64003926605076,True
smooth_low_variation,0,afp_exchange_poly_residual_phs,64,5,1.046097317976303e-05,1.3711406614599736e-05,9.473946720427417e-06,2.3221814645547895e-05,202.52847501101752,True
smooth_low_variation,1,afp_poly_only,64,5,0.0009401302257711464,0.001463530086012944,0.0007541801648883015,0.0018892107890481843,178.9825520543919,True
smooth_low_variation,1,afp_poly_residual_phs,64,5,0.0002272142042893462,0.0004063516197844351,0.00015232826705177468,0.0005050668483787676,178.9825520543919,True
smooth_low_variation,1,hessian_weighted_poly_residual_phs,64,5,0.00014618532978311231,0.000155526582519613,0.00014375101054467138,0.00031024075028873293,203.8258411040538,True
smooth_low_variation,1,afp_exchange_poly_residual_phs,64,5,0.0001611655358938182,0.00014517542370130466,0.0001649273545264444,0.00033010702575591417,233.5872444984706,True
smooth_low_variation,2,afp_poly_only,64,5,0.0001856193002380975,0.0002517979713597832,0.00016494003837062718,0.00036405807694265483,188.54082172385316,True
smooth_low_variation,2,afp_poly_residual_phs,64,5,4.570152383247523e-05,8.608556412650044e-05,2.7492335632867016e-05,9.150429404136309e-05,188.54082172385316,True
smooth_low_variation,2,hessian_weighted_poly_residual_phs,64,5,3.961477666583323e-05,6.0069051931888115e-05,3.253794812373211e-05,8.199701355665926e-05,199.89912661439863,True
smooth_low_variation,2,afp_exchange_poly_residual_phs,64,5,3.843393829290937e-05,4.280582365336769e-05,3.7258863718615694e-05,8.60270274455956e-05,210.94320142210228,True
smooth_low_variation,3,afp_poly_only,64,5,0.0006051086843840555,0.0008716973914577958,0.000517265042880551,0.0011910760254529753,190.24992668204044,True
smooth_low_variation,3,afp_poly_residual_phs,64,5,0.00010390968610713687,0.00018809136214368734,6.812798038079326e-05,0.00024777602638193115,190.24992668204044,True
smooth_low_variation,3,hessian_weighted_poly_residual_phs,64,5,9.044189471258861e-05,0.00011426509629765232,8.341735953032662e-05,0.00021907966066697754,195.87135954383604,True
smooth_low_variation,3,afp_exchange_poly_residual_phs,64,5,7.987618845584937e-05,6.992380920835794e-05,8.218004580506791e-05,0.0001652120198349727,230.0629371846216,True
smooth_low_variation,4,afp_poly_only,64,5,0.0003715437905868064,0.0004626740468730009,0.0003449733927197662,0.0006725399762262526,186.919969586886,True
