family,index,global_improvement,high_improvement,low_improvement
edge_rolloff,0,-0.05359752042737363,0.4390483898211509,-0.858063913870452
edge_rolloff,1,0.06282889161845599,0.420806367930497,-0.46468147784924363
edge_rolloff,2,0.14770856690821835,0.5222189636325191,-0.32638265951629586
edge_rolloff,3,0.21804661806309072,0.4849014038362366,-0.23427173075064242
edge_rolloff,4,0.2310628201882176,0.38906680152102185,-0.043339552197303406
local_bump,0,0.49697089015051216,0.7725057188628319,-0.3352083195951519
local_bump,1,0.5237537926075461,0.6172314232422683,-0.053923735296753726
local_bump,2,0.4973692118215653,0.6902364583772884,0.07158305829207544
local_bump,3,0.4788197847528835,0.5743879851997504,0.09477827185211281
local_bump,4,0.07290415499871424,0.278338025105311,-0.3391512265783254
mid_frequency_undulation,0,0.10537427018257894,0.7120352728625168,-0.19242379090414047
mid_frequency_undulation,1,0.3027846197150383,0.7023815157782592,-0.4328221432879703
mid_frequency_undulation,2,0.32257019445562385,0.7006025091525137,-0.35303608274636455
mid_frequency_undulation,3,0.43084629644383227,0.6440738428772305,0.16877732802805137
mid_frequency_undulation,4,0.2810470174491766,0.39810103938029473,-0.30205950884578464
smooth_low_variation,0,0.4980828411345067,0.6403131156098668,-0.005986187781070177
smooth_low_variation,1,0.400425154389062,0.7110467467580093,-0.5123072446953174
smooth_low_variation,2,0.11209925735323223,0.5415152670296666,-0.7148273980582148
smooth_low_variation,3,0.03371402516874562,0.5600031530674487,-1.5065261520474926
smooth_low_variation,4,0.05397426335838061,0.3433642469997813,-0.668993065807746
