family,index,n_points,method,global_rmse,local_rmse,low_rmse,condition
smooth_low_variation,0,36,afp_poly_residual_phs,3.357861739952189e-05,6.547832508326905e-05,1.833575057707844e-05,235.17836286706694
smooth_low_variation,0,36,afp_exchange_poly_residual_phs,3.877521925821604e-05,4.6967724857812045e-05,3.6436310275174004e-05,250.48631597343936
smooth_low_variation,1,36,afp_poly_residual_phs,0.00043629180533040685,0.0007742567335779357,0.00029647051039510526,222.02657543377924
smooth_low_variation,1,36,afp_exchange_poly_residual_phs,0.0005340842460100048,0.0006272925977620566,0.0005080720057448039,275.7800201137201
smooth_low_variation,2,36,afp_poly_residual_phs,0.00013500192817630713,0.00027071140237870206,6.66121499923766e-05,237.29667097212345
smooth_low_variation,2,36,afp_exchange_poly_residual_phs,0.00016497091741132718,0.00013013293448422877,0.00017259782112384394,303.35810581178475
smooth_low_variation,3,36,afp_poly_residual_phs,0.00024555438073663996,0.00042085449618406635,0.00017618622232008522,214.61629729697188
smooth_low_variation,3,36,afp_exchange_poly_residual_phs,0.0001734079802840627,0.00025712591741696426,0.00014506569008832619,319.8612531426719
smooth_low_variation,4,36,afp_poly_residual_phs,0.0003027239946744416,0.0006122763361704585,0.00014391147343556924,247.01382408451764
smooth_low_variation,4,36,afp_exchange_poly_residual_phs,0.00026453609793651865,0.00033536258027241537,0.0002435959575647655,319.19724197376223
edge_rolloff,0,36,afp_poly_residual_phs,0.0016703230141503253,0.0030111504904085777,0.0011036445694996419,274.0383175835946
edge_rolloff,0,36,afp_exchange_poly_residual_phs,0.0010401267684463386,0.0014771245565050072,0.000897989277869853,308.1495573304931
edge_rolloff,1,36,afp_poly_residual_phs,0.001761617617755099,0.002912281135685514,0.0013253205222397957,218.10964078164787
edge_rolloff,1,36,afp_exchange_poly_residual_phs,0.0017202256942033993,0.002415990292126479,0.0014961574214270201,316.12684828215896
edge_rolloff,2,36,afp_poly_residual_phs,0.0017927775766624426,0.003512321457724424,0.0009641373893153614,246.6276798660095
edge_rolloff,2,36,afp_exchange_poly_residual_phs,0.0015917638142022169,0.0022111359703779697,0.0013942208384587092,393.295064742416
edge_rolloff,3,36,afp_poly_residual_phs,0.0016200970377800515,0.002578457725620735,0.001271636917356921,216.59429246974906
edge_rolloff,3,36,afp_exchange_poly_residual_phs,0.0017008717753847948,0.0021128115118616148,0.00158099359183939,296.6524655762825
edge_rolloff,4,36,afp_poly_residual_phs,0.0012801297934870073,0.002162827617246698,0.0009368347218897429,234.55968613608252
edge_rolloff,4,36,afp_exchange_poly_residual_phs,0.0011333961478382356,0.001610990784398008,0.0009779314591993335,301.76618667172875
local_bump,0,36,afp_poly_residual_phs,0.0020824066880378717,0.004305590121379589,0.0008831304675318896,219.3729731720022
local_bump,0,36,afp_exchange_poly_residual_phs,0.0019470459685657982,0.002942466607860786,0.0016037846583789304,303.95419292070494
local_bump,1,36,afp_poly_residual_phs,0.0012131474951920728,0.0023481799825468904,0.0006778213868316667,243.07474651029978
local_bump,1,36,afp_exchange_poly_residual_phs,0.0009363121027643541,0.0018531618741526941,0.00048600823180696686,287.53303111282924
local_bump,2,36,afp_poly_residual_phs,0.0013521209625009596,0.0026125215617647125,0.0007594957019283554,281.1414135763781
local_bump,2,36,afp_exchange_poly_residual_phs,0.0012899623702272616,0.0017107341766775955,0.0011609524529676233,267.58188309579174
local_bump,3,36,afp_poly_residual_phs,0.0006445472721458432,0.0013187754095989141,0.00028972917772808525,230.9578718151889
local_bump,3,36,afp_exchange_poly_residual_phs,0.0006002375662177076,0.0011788132538719136,0.00032018099209498184,237.6495813769106
local_bump,4,36,afp_poly_residual_phs,0.0018497730824415255,0.0030660781595261925,0.0013871945185968458,192.35563494803765
local_bump,4,36,afp_exchange_poly_residual_phs,0.0015765961466272568,0.002447299341708616,0.0012681686653582245,245.13725870080125
mid_frequency_undulation,0,36,afp_poly_residual_phs,0.001544628564325713,0.0022123274219048887,0.0013257734944631025,225.64982891255718
mid_frequency_undulation,0,36,afp_exchange_poly_residual_phs,0.0013435812773545657,0.0012370468312756834,0.0013689630086587906,272.40434172595207
mid_frequency_undulation,1,36,afp_poly_residual_phs,0.0012753437395652653,0.002258554135530513,0.0008696975455938431,237.31002615274627
mid_frequency_undulation,1,36,afp_exchange_poly_residual_phs,0.001181897725767971,0.0012390337480979374,0.0011671514280128142,281.78530516764573
mid_frequency_undulation,2,36,afp_poly_residual_phs,0.0012388633964792893,0.0020824647373898887,0.0009127510881556782,234.57401157341712
mid_frequency_undulation,2,36,afp_exchange_poly_residual_phs,0.0007478141336449026,0.0006390199605059338,0.0007726644793093934,211.28674160289356
mid_frequency_undulation,3,36,afp_poly_residual_phs,0.001223258560938032,0.0023426812279181354,0.000704773161144072,241.8221265806506
mid_frequency_undulation,3,36,afp_exchange_poly_residual_phs,0.0011206284006686587,0.0017812871586611854,0.0008807348008218977,231.8167775478779
mid_frequency_undulation,4,36,afp_poly_residual_phs,0.000858290164489366,0.0015628915604967836,0.0005562734243808383,301.13898268367
mid_frequency_undulation,4,36,afp_exchange_poly_residual_phs,0.000620263861302256,0.0010000025199313452,0.00048025469583215904,289.3482565471498
smooth_low_variation,0,49,afp_poly_residual_phs,3.554562345483841e-05,7.519551859960003e-05,1.2802112955425224e-05,208.57310010202775
smooth_low_variation,0,49,afp_exchange_poly_residual_phs,2.9875614069125136e-05,5.306394363110243e-05,2.0271211996649615e-05,229.61117779435466
smooth_low_variation,1,49,afp_poly_residual_phs,0.00035327584856657417,0.0007021285746486342,0.00018055781884282544,184.04215553599678
smooth_low_variation,1,49,afp_exchange_poly_residual_phs,0.00022029737540579512,0.00027999246785530296,0.00020261279372891554,213.73821833955935
smooth_low_variation,2,49,afp_poly_residual_phs,8.509875995807796e-05,0.00017984927239251522,3.0904175435552486e-05,196.94717808121038
smooth_low_variation,2,49,afp_exchange_poly_residual_phs,8.051645736934152e-05,0.000157890087454009,4.316726645248936e-05,215.8902916358192
smooth_low_variation,3,49,afp_poly_residual_phs,0.00018198700785946519,0.0003643770838835015,9.035369014239883e-05,207.31619594201766
smooth_low_variation,3,49,afp_exchange_poly_residual_phs,0.00014130742469703106,0.00018002749515130855,0.00012981501216287192,222.81876215937788
smooth_low_variation,4,49,afp_poly_residual_phs,0.0001445101525022275,0.0002811132826607755,7.951688913906995e-05,207.83582235925357
smooth_low_variation,4,49,afp_exchange_poly_residual_phs,0.00012564907985736912,0.0002400249171556211,7.289533497314044e-05,212.02803355060678
edge_rolloff,0,49,afp_poly_residual_phs,0.0009642222188907876,0.0018012513264787995,0.0005916406615063572,198.421552750728
edge_rolloff,0,49,afp_exchange_poly_residual_phs,0.0010427987906767007,0.0015871935162322652,0.0008537436817176141,239.4867492749728
edge_rolloff,1,49,afp_poly_residual_phs,0.0015161486781988661,0.002938152070413408,0.0008440907426211119,198.6859865713865
edge_rolloff,1,49,afp_exchange_poly_residual_phs,0.0012485912070473396,0.0021557286083203936,0.0008863477316987506,214.57605774505873
edge_rolloff,2,49,afp_poly_residual_phs,0.0013751004023209734,0.002597499011536185,0.0008214611937114873,222.9743222130416
edge_rolloff,2,49,afp_exchange_poly_residual_phs,0.0011979832271539678,0.0017809598149316757,0.0010001286384740279,242.1283817422434
edge_rolloff,3,49,afp_poly_residual_phs,0.0015103564298619464,0.00278236151392254,0.0009559030463081258,197.14124944689888
edge_rolloff,3,49,afp_exchange_poly_residual_phs,0.0014665622886461589,0.002172823794175457,0.0012276463969864379,234.3986150691424
edge_rolloff,4,49,afp_poly_residual_phs,0.0011376610083548091,0.002087729676498504,0.0007258621561163398,202.31396415926574
edge_rolloff,4,49,afp_exchange_poly_residual_phs,0.0010455599373153325,0.0017154085585515482,0.0007937547421217337,199.27251957645163
local_bump,0,49,afp_poly_residual_phs,0.0013815276690323699,0.002628346571720927,0.0008102980543262585,204.6901236853588
local_bump,0,49,afp_exchange_poly_residual_phs,0.0008483255571664212,0.0014506673660578534,0.000610629921176664,192.6916241757284
local_bump,1,49,afp_poly_residual_phs,0.0009739135306546462,0.002115768611051103,0.00025496245475172983,198.5547115866803
local_bump,1,49,afp_exchange_poly_residual_phs,0.0007931625235347945,0.0017150520324717103,0.00022370366343216224,217.2306493061289
local_bump,2,49,afp_poly_residual_phs,0.0010272707170454125,0.002134191802775095,0.00042298407806230966,186.46587489001067
local_bump,2,49,afp_exchange_poly_residual_phs,0.0007754940550811345,0.00164168613712907,0.0002775962195389217,199.71002586919883
local_bump,3,49,afp_poly_residual_phs,0.0006235626716712503,0.0013758109710361641,0.0001103656226125561,209.10493846017238
local_bump,3,49,afp_exchange_poly_residual_phs,0.0004880563079892909,0.0010554938308843134,0.00013732138664725646,204.7303162592597
local_bump,4,49,afp_poly_residual_phs,0.0014119975725748288,0.002545016165439621,0.0009332611930923881,207.14481591443058
local_bump,4,49,afp_exchange_poly_residual_phs,0.0012725610548497974,0.001897898738396306,0.0010596751424755682,192.96373890256243
mid_frequency_undulation,0,49,afp_poly_residual_phs,0.0008848284503780156,0.0015986137967177263,0.0005822386201047922,211.95790772703603
mid_frequency_undulation,0,49,afp_exchange_poly_residual_phs,0.0007169060602825246,0.0009200579275922667,0.0006562575318055863,226.87383303765606
mid_frequency_undulation,1,49,afp_poly_residual_phs,0.0007759072529189821,0.0013836794529893703,0.0005228157621627087,207.13966465025683
mid_frequency_undulation,1,49,afp_exchange_poly_residual_phs,0.0005769945798142975,0.0005006855179000106,0.0005945730556199631,239.83226379577377
mid_frequency_undulation,2,49,afp_poly_residual_phs,0.0002532452842294516,0.00035750822512237374,0.00021951353135038447,200.31666789292169
mid_frequency_undulation,2,49,afp_exchange_poly_residual_phs,0.0002466652156113644,0.0003060604242380144,0.000229395661068722,200.53971789344862
mid_frequency_undulation,3,49,afp_poly_residual_phs,0.000649802328585177,0.00128577845263665,0.0003375953407743505,209.328586875597
