family,index,n_points,method,global_rmse,local_rmse,low_rmse,condition
smooth_low_variation,0,36,afp_poly_residual_phs,3.357861739952189e-05,6.093952169212636e-05,2.1906429980257915e-05,235.17836286706694
smooth_low_variation,0,36,afp_exchange_poly_residual_phs,2.6033629657667328e-05,2.0263409141091963e-05,2.7288279504965444e-05,357.6928285435269
smooth_low_variation,1,36,afp_poly_residual_phs,0.00043629180533040685,0.0005348863540488129,0.00040788644816240046,222.02657543377924
smooth_low_variation,1,36,afp_exchange_poly_residual_phs,0.0003637256129758359,0.00031218741145816394,0.0003755263783447174,295.94708820745797
smooth_low_variation,2,36,afp_poly_residual_phs,0.00013500192817630713,0.00019445488881430142,0.00011541379760274633,237.29667097212345
smooth_low_variation,2,36,afp_exchange_poly_residual_phs,0.00013166561068410872,8.47134250814313e-05,0.00014099661983690774,360.31130757080115
smooth_low_variation,3,36,afp_poly_residual_phs,0.00024555438073663996,0.0002667825410538311,0.00023994438557217604,214.61629729697188
smooth_low_variation,3,36,afp_exchange_poly_residual_phs,0.00016727296541629806,0.00012124230986705488,0.00017693519631816962,297.18366052111276
smooth_low_variation,4,36,afp_poly_residual_phs,0.0003027239946744416,0.00047444037208668055,0.0002412918538859425,247.01382408451764
smooth_low_variation,4,36,afp_exchange_poly_residual_phs,0.00019722625709493155,0.0001725082853759151,0.00020294550630108567,356.63402640363574
edge_rolloff,0,36,afp_poly_residual_phs,0.0016703230141503253,0.0022176553674246205,0.001502352966545578,274.0383175835946
edge_rolloff,0,36,afp_exchange_poly_residual_phs,0.0009284061116489166,0.0009936641418646591,0.0009113323293594213,261.7798869955951
edge_rolloff,1,36,afp_poly_residual_phs,0.001761617617755099,0.002154436453958325,0.0016486550692447752,218.10964078164787
edge_rolloff,1,36,afp_exchange_poly_residual_phs,0.0016922708738662002,0.0016170719117434384,0.0017105852704932282,240.10395664281864
edge_rolloff,2,36,afp_poly_residual_phs,0.0017927775766624426,0.0026785830168443905,0.001490693795855213,246.6276798660095
edge_rolloff,2,36,afp_exchange_poly_residual_phs,0.0011967700663678721,0.0012713228799264076,0.001177361053307628,285.36416213534164
edge_rolloff,3,36,afp_poly_residual_phs,0.0016200970377800515,0.0019422875933208868,0.001528817086114117,216.59429246974906
edge_rolloff,3,36,afp_exchange_poly_residual_phs,0.0014221303260765715,0.0015067073119240475,0.0014001502129294158,245.73194994149821
edge_rolloff,4,36,afp_poly_residual_phs,0.0012801297934870073,0.0015625476942115301,0.0011990342188032052,234.55968613608252
edge_rolloff,4,36,afp_exchange_poly_residual_phs,0.001123224414704458,0.0011272652992432976,0.001122210186538253,407.53166005072217
local_bump,0,36,afp_poly_residual_phs,0.0020824066880378717,0.004209049026713846,0.000992861650436074,219.3729731720022
local_bump,0,36,afp_exchange_poly_residual_phs,0.0016242045529227932,0.0016342927463887467,0.0016216683624907656,358.9317357452594
local_bump,1,36,afp_poly_residual_phs,0.0012131474951920728,0.0020381161241402814,0.0008944449002033293,243.07474651029978
local_bump,1,36,afp_exchange_poly_residual_phs,0.0008484133476465384,0.0011247908285438757,0.0007636979687549506,393.99073951806275
local_bump,2,36,afp_poly_residual_phs,0.0013521209625009596,0.002300807172413834,0.0009799886710013437,281.1414135763781
local_bump,2,36,afp_exchange_poly_residual_phs,0.0012941206364613731,0.0012307077531388058,0.0013095202875258623,540.0915630148269
local_bump,3,36,afp_poly_residual_phs,0.0006445472721458432,0.0012648587491845803,0.00034471412220675896,230.9578718151889
local_bump,3,36,afp_exchange_poly_residual_phs,0.00042612172630886457,0.0005367319799871405,0.00039358453611713803,347.73652528481614
local_bump,4,36,afp_poly_residual_phs,0.0018497730824415255,0.0017849853051433665,0.0018656455146783964,192.35563494803765
local_bump,4,36,afp_exchange_poly_residual_phs,0.0019275016963111393,0.0014267812932294845,0.0020336840587018394,262.3787174591098
mid_frequency_undulation,0,36,afp_poly_residual_phs,0.001544628564325713,0.0014891358857713171,0.0015582160818867663,225.64982891255718
mid_frequency_undulation,0,36,afp_exchange_poly_residual_phs,0.0013286120171638936,0.0008204924167860942,0.0014278226828529266,336.25432541826837
mid_frequency_undulation,1,36,afp_poly_residual_phs,0.0012753437395652653,0.0018122379073350365,0.0011006208613171741,237.31002615274627
mid_frequency_undulation,1,36,afp_exchange_poly_residual_phs,0.0009053670090993943,0.0007225014375434505,0.0009456410809209647,335.54640473812333
mid_frequency_undulation,2,36,afp_poly_residual_phs,0.0012388633964792893,0.0016690723853514762,0.0011052114065198896,234.57401157341712
mid_frequency_undulation,2,36,afp_exchange_poly_residual_phs,0.0009474872553012989,0.0004031628237791748,0.0010401175900241525,297.32425877762364
mid_frequency_undulation,3,36,afp_poly_residual_phs,0.001223258560938032,0.0017749524742734749,0.0010402548377988884,241.8221265806506
mid_frequency_undulation,3,36,afp_exchange_poly_residual_phs,0.0008074392406379448,0.0005664281537558886,0.0008572509028051587,296.1206759597789
mid_frequency_undulation,4,36,afp_poly_residual_phs,0.000858290164489366,0.001265208746357572,0.0007212971122082302,301.13898268367
mid_frequency_undulation,4,36,afp_exchange_poly_residual_phs,0.0005234602400590141,0.00041184602864542924,0.0005478628061100896,307.6510533804557
