family,index,seed,method,global_rmse,local_rmse,p95_abs,condition,success
smooth_low_variation,0,20320513,regular_grid,0.00023675557496063713,0.0004788828934914569,0.0005194300804307536,nan,True
smooth_low_variation,0,20320513,random_uniform,0.00011433066761488193,0.00019161657527158113,0.0002537211539336607,nan,True
smooth_low_variation,0,20320513,jittered_grid,0.0002100277422778156,0.0004233753397016918,0.00044044098839282663,nan,True
smooth_low_variation,0,20320513,latin_hypercube,0.0002143001839463644,0.00038691465335169927,0.00038211479152284664,nan,True
smooth_low_variation,0,20320513,poisson_disk,6.713887748615831e-05,0.00012050816042472647,0.00014865795474884895,nan,True
smooth_low_variation,0,20320513,afp_baseline,6.823031737848145e-05,0.00011899188240559626,0.00015489193661828281,nan,True
smooth_low_variation,0,20320513,hessian_weighted,0.00010208899570656042,0.00011512136209100106,0.00025180067026649893,nan,True
smooth_low_variation,0,20320513,afp_exchange,8.031423071846006e-05,7.113821416449084e-05,0.0001782368140110474,nan,True
smooth_low_variation,1,20320514,regular_grid,0.00024720608846001804,0.0005013384173141389,0.00035560649021075183,nan,True
smooth_low_variation,1,20320514,random_uniform,0.00034316471739360787,0.0006275563883567666,0.0008421069669261178,nan,True
smooth_low_variation,1,20320514,jittered_grid,0.00025352673467430106,0.0005253149800845172,0.00033572642338992095,nan,True
smooth_low_variation,1,20320514,latin_hypercube,0.00020287303450484452,0.00033896665545910356,0.0004626785233923991,nan,True
smooth_low_variation,1,20320514,poisson_disk,9.422280210672375e-05,0.00017201497808200654,0.00018883649243826676,nan,True
smooth_low_variation,1,20320514,afp_baseline,0.00010834874169649577,0.00020281379903839904,0.0001957312781269982,nan,True
smooth_low_variation,1,20320514,hessian_weighted,0.00015855390517020796,0.00024143917036088935,0.00040290679525015194,nan,True
smooth_low_variation,1,20320514,afp_exchange,0.00023605408640310443,0.00013397552766674913,0.0005904052213612353,nan,True
smooth_low_variation,2,20320515,regular_grid,0.0002818592506909274,0.0005444313215051497,0.00039115158502082015,nan,True
smooth_low_variation,2,20320515,random_uniform,0.0005191600696557388,0.0009191012554857172,0.0010870571524083652,nan,True
smooth_low_variation,2,20320515,jittered_grid,0.0002315319050161954,0.00044918750111662225,0.0004511252428391994,nan,True
smooth_low_variation,2,20320515,latin_hypercube,0.0003287209456596857,0.0006283141469939363,0.0005366386698236855,nan,True
smooth_low_variation,2,20320515,poisson_disk,6.722314549780593e-05,9.834328463176719e-05,0.00014175151567746933,nan,True
smooth_low_variation,2,20320515,afp_baseline,6.317329905817292e-05,0.00010331243261688415,0.00014894364457047633,nan,True
smooth_low_variation,2,20320515,hessian_weighted,0.00010926123746081866,7.239480361037354e-05,0.00023492549099962397,nan,True
smooth_low_variation,2,20320515,afp_exchange,7.360193526187118e-05,5.735321484457038e-05,0.00016808027306781763,nan,True
smooth_low_variation,3,20320516,regular_grid,0.0001630296444749508,0.0003176785801161524,0.000212988625963406,nan,True
smooth_low_variation,3,20320516,random_uniform,0.00023763196906801363,0.00045648822465483343,0.0005609401237460926,nan,True
smooth_low_variation,3,20320516,jittered_grid,0.0001626216970941991,0.0003207297511063735,0.00022265220300060683,nan,True
smooth_low_variation,3,20320516,latin_hypercube,0.00014132444278922203,0.0002810500508264976,0.00026830725633620375,nan,True
smooth_low_variation,3,20320516,poisson_disk,5.566536529499792e-05,0.00010064916053526879,0.0001015356322047543,nan,True
smooth_low_variation,3,20320516,afp_baseline,4.093213192142233e-05,7.06541629969223e-05,8.57325561165541e-05,nan,True
smooth_low_variation,3,20320516,hessian_weighted,4.1322848589147324e-05,4.7887762170370406e-05,9.324017134058286e-05,nan,True
smooth_low_variation,3,20320516,afp_exchange,4.1912827329107384e-05,4.513193492646779e-05,9.868767027276337e-05,nan,True
smooth_low_variation,4,20320517,regular_grid,0.00022727552254592074,0.0004279176355532138,0.00038495982133757373,nan,True
smooth_low_variation,4,20320517,random_uniform,0.0003222689600727644,0.0005851661324488242,0.0006487669821041199,nan,True
smooth_low_variation,4,20320517,jittered_grid,0.00011603962715218285,0.00021654497759984105,0.0002491594510295643,nan,True
smooth_low_variation,4,20320517,latin_hypercube,0.00031578174921535973,0.0005006241779859097,0.0007609619262891163,nan,True
smooth_low_variation,4,20320517,poisson_disk,0.00010352469132650827,0.00019149222227270358,0.00024052266673600295,nan,True
smooth_low_variation,4,20320517,afp_baseline,0.00010134488958185883,0.0001875493885567502,0.00018877787317811466,nan,True
smooth_low_variation,4,20320517,hessian_weighted,9.771210699612957e-05,0.00013865114589835657,0.00022964696386547486,nan,True
smooth_low_variation,4,20320517,afp_exchange,7.212028069276852e-05,0.00010578927043623967,0.00016163541292439897,nan,True
edge_rolloff,0,20321513,regular_grid,0.0025517651318212845,0.005295124616793194,0.004272435817518426,nan,True
edge_rolloff,0,20321513,random_uniform,0.00174090860214544,0.003271286390094544,0.0037113782636277286,nan,True
edge_rolloff,0,20321513,jittered_grid,0.002608657689433722,0.005646885076923626,0.00536627654341269,nan,True
edge_rolloff,0,20321513,latin_hypercube,0.001949061844962533,0.0036720231019866175,0.004394175123025838,nan,True
edge_rolloff,0,20321513,poisson_disk,0.0012217693994147137,0.002245583449830757,0.0029082359056458312,nan,True
edge_rolloff,0,20321513,afp_baseline,0.0014706032865449963,0.002469484755905284,0.003473716718566347,nan,True
edge_rolloff,0,20321513,hessian_weighted,0.0016090820536785947,0.002541994575991213,0.0035163797024327327,nan,True
edge_rolloff,0,20321513,afp_exchange,0.0011255755962245413,0.0017147514569327879,0.0022907778943844267,nan,True
edge_rolloff,1,20321514,regular_grid,0.0025515852986497506,0.004214651639651379,0.003996749992260138,nan,True
edge_rolloff,1,20321514,random_uniform,0.001877678193379703,0.003221712604401819,0.004331842444586268,nan,True
edge_rolloff,1,20321514,jittered_grid,0.002402693764182648,0.0042023187992573634,0.004650437620449763,nan,True
edge_rolloff,1,20321514,latin_hypercube,0.0021774929885904847,0.004109913513904614,0.005092771383081323,nan,True
edge_rolloff,1,20321514,poisson_disk,0.0013710275215880286,0.0022878945426256163,0.00287463706800011,nan,True
edge_rolloff,1,20321514,afp_baseline,0.0015504500964595052,0.0025846934488543056,0.0037941507250054546,nan,True
edge_rolloff,1,20321514,hessian_weighted,0.0014188685906995635,0.0020882288170011344,0.0030579218331967545,nan,True
edge_rolloff,1,20321514,afp_exchange,0.001312190935080142,0.0019625490207452376,0.002927489667241718,nan,True
edge_rolloff,2,20321515,regular_grid,0.002073542773735188,0.0033439267149689496,0.003187777911544701,nan,True
edge_rolloff,2,20321515,random_uniform,0.0015783612179570028,0.002832104324880842,0.003891369833417867,nan,True
edge_rolloff,2,20321515,jittered_grid,0.001961912124732342,0.0033287437949969943,0.004053431254587231,nan,True
