family,index,layout,degree,global_rmse,local_rmse,p95_abs,condition
smooth_low_variation,0,regular,3,0.0008270913441411908,0.0011655290417031399,0.0015618084243313648,24.94365478273628
smooth_low_variation,0,regular,5,0.0001937700940719913,0.00029138120164318653,0.0003836270129247222,327.43361648915993
smooth_low_variation,0,regular,7,0.00016666812071095352,0.00034761741988668455,0.00034439877967298746,7676.108739186785
smooth_low_variation,0,regular,9,0.00014243065630926388,0.00029300654239454313,0.00019593630374431737,7.740388647875343e+17
smooth_low_variation,0,regular,11,0.00015939353895094946,0.0003268477854467607,0.0003141087150892787,4.049534361189323e+17
smooth_low_variation,0,afp,3,0.0008032664561598499,0.001040710911637813,0.0014727093549046924,18.254309472963342
smooth_low_variation,0,afp,5,0.00018835527146841372,0.00029536307606628926,0.0003635578113082306,185.7862792830113
smooth_low_variation,0,afp,7,3.016089232170286e-05,5.5938405446678434e-05,4.980332711315835e-05,2202.002341884789
smooth_low_variation,0,afp,9,4.959598709493338e-06,1.0034792462305875e-05,8.470455519444923e-06,37784.00220302009
smooth_low_variation,0,afp,11,4.6779775427406334e-05,8.25576341507935e-05,7.487216402537534e-05,269691.0961094271
smooth_low_variation,1,regular,3,0.001086960012160279,0.001444679368940715,0.0021676786893281516,24.94365478273628
smooth_low_variation,1,regular,5,0.0008233923743238025,0.0014064633388931919,0.0013767105474813321,327.43361648915993
smooth_low_variation,1,regular,7,0.0012760525483188159,0.0026334915763712194,0.0026524445667639833,7676.108739186785
smooth_low_variation,1,regular,9,0.0003899294638939793,0.0007451591046693605,0.0008652049671216333,7.740388647875343e+17
smooth_low_variation,1,regular,11,0.00039704112623252606,0.0007666481861750193,0.0007331347612558818,4.049534361189323e+17
smooth_low_variation,1,afp,3,0.0010813685033938887,0.0014746615624407911,0.0021485399056697585,17.655741338707703
smooth_low_variation,1,afp,5,0.0005970180782589254,0.0007977951341417334,0.0012017218524009389,174.25421919816924
smooth_low_variation,1,afp,7,0.00017420337564166762,0.00023567549309302856,0.00034913761345215476,1903.5711607089936
smooth_low_variation,1,afp,9,5.727888307619557e-05,0.00010552130598245199,0.00011289879721587247,47447.536789404825
smooth_low_variation,1,afp,11,0.000196628056315131,0.000324369073123843,0.0004888299752991894,116346.606807982
smooth_low_variation,2,regular,3,0.0011605708655870008,0.0012220262722574674,0.0021661404015539286,24.94365478273628
smooth_low_variation,2,regular,5,0.0006721792205844729,0.0008985042175402277,0.0011907141805926496,327.43361648915993
smooth_low_variation,2,regular,7,0.00046904781681040864,0.0008973692062473791,0.0007905719641337731,7676.108739186785
smooth_low_variation,2,regular,9,0.00019428882860118957,0.0002692261253566282,0.0005412280916852464,7.740388647875343e+17
smooth_low_variation,2,regular,11,0.00025596715708675654,0.00048096692406139976,0.0005518321609330347,4.049534361189323e+17
smooth_low_variation,2,afp,3,0.0011619831770237458,0.0012735924094561001,0.002217030811578369,17.530089226204336
smooth_low_variation,2,afp,5,0.0005825697925546977,0.0005948886848698397,0.0011175528506674288,169.84242277674008
smooth_low_variation,2,afp,7,0.00019569672746357492,0.0002449490900920866,0.00037752074234644224,1952.514964955351
smooth_low_variation,2,afp,9,9.420434862872959e-05,0.0001445385832029634,0.00017732630229181658,38676.156511136425
smooth_low_variation,2,afp,11,0.00010407538580901587,0.00018327281502663483,0.00019512423030930057,173016.02877651938
smooth_low_variation,3,regular,3,0.0012690461828203485,0.0015909774938860316,0.0023876662168036884,24.94365478273628
smooth_low_variation,3,regular,5,0.0007567917359774868,0.0012878463775975715,0.0011251635792492035,327.43361648915993
smooth_low_variation,3,regular,7,0.0015052629176498622,0.0031249295715028006,0.003453842682392642,7676.108739186785
smooth_low_variation,3,regular,9,0.00030413103992006673,0.0005460827356550578,0.0005422375295245977,7.740388647875343e+17
smooth_low_variation,3,regular,11,0.0003147924194584012,0.000655175876044608,0.00042462272425444455,4.049534361189323e+17
smooth_low_variation,3,afp,3,0.0012823313485522219,0.0016636427452361548,0.0024309696693245804,18.007123896137344
smooth_low_variation,3,afp,5,0.0005200700491452534,0.0006542541946232211,0.0009775162221795138,173.2242927423468
smooth_low_variation,3,afp,7,0.00014216785091382436,0.00019664085098343356,0.00025868853409287493,2120.6503571159683
smooth_low_variation,3,afp,9,5.744494760727692e-05,0.0001121219358462075,8.27378184254402e-05,46199.827590486486
smooth_low_variation,3,afp,11,0.00010564339918911356,0.0001691496007502849,0.00020114202287333655,211702.24636523266
smooth_low_variation,4,regular,3,0.0013290512520127303,0.0013184252773281936,0.0024957776611834034,24.94365478273628
smooth_low_variation,4,regular,5,0.0007642084137305701,0.0010379295399641755,0.0014078093706782543,327.43361648915993
smooth_low_variation,4,regular,7,0.0005321619506410483,0.0010248257177767443,0.0008235539693952896,7676.108739186785
smooth_low_variation,4,regular,9,0.00016556250536810577,0.00028894584065824265,0.00025628331956689806,7.740388647875343e+17
smooth_low_variation,4,regular,11,0.00015796288826622491,0.00027699878854105323,0.00034957972232989233,4.049534361189323e+17
smooth_low_variation,4,afp,3,0.001334546601642853,0.001273115322524587,0.0025263331737107216,18.159041899640993
smooth_low_variation,4,afp,5,0.0006699279710170569,0.0007523445090183002,0.0012674762464909423,194.30434004195163
smooth_low_variation,4,afp,7,0.0002651158586310243,0.0004397812523441047,0.0005051359328424468,2172.955421086432
smooth_low_variation,4,afp,9,0.00018129153113395895,0.000363381422349605,0.00035022934309997744,41294.178032235846
smooth_low_variation,4,afp,11,0.00034814923049679896,0.000723625553097777,0.0004634453737743495,180801.56886711685
edge_rolloff,0,regular,3,0.0033031524792242837,0.005930481685836344,0.005728397788634622,24.94365478273628
edge_rolloff,0,regular,5,0.0034476154481155887,0.00735633797320642,0.007862993719614034,327.43361648915993
edge_rolloff,0,regular,7,0.008388152591208101,0.018444698322498787,0.019075431866235254,7676.108739186785
edge_rolloff,0,regular,9,0.00279280572765538,0.005748589058174473,0.005567166728813498,7.740388647875343e+17
edge_rolloff,0,regular,11,0.002487939891599806,0.0051428946776469866,0.0050041522979726895,4.049534361189323e+17
edge_rolloff,0,afp,3,0.002236363534046812,0.0030394552391227346,0.004719137907652349,18.860541278837346
edge_rolloff,0,afp,5,0.00111412930459008,0.0016769945528227535,0.002211179362989016,183.30903173910477
edge_rolloff,0,afp,7,0.0004102653954554366,0.0007705417453617015,0.0007381963192757911,2447.615194872283
edge_rolloff,0,afp,9,0.00032210465293805977,0.0006644215756149667,0.0006388940951520886,51823.141808404886
edge_rolloff,0,afp,11,0.0004631442305701756,0.000983503519623594,0.0008694651245127759,446016.8750808622
edge_rolloff,1,regular,3,0.0032184027625486345,0.0043124922439052365,0.005581423014753652,24.94365478273628
edge_rolloff,1,regular,5,0.003359159212792076,0.004944501629801631,0.007661251143079972,327.43361648915993
edge_rolloff,1,regular,7,0.008172935897110151,0.012079281046353297,0.018586009274449984,7676.108739186785
edge_rolloff,1,regular,9,0.0027213496399966577,0.0038796989183319057,0.005424462339578634,7.740388647875343e+17
edge_rolloff,1,regular,11,0.0024245406969104506,0.0034772642622618007,0.004875612484670585,4.049534361189323e+17
edge_rolloff,1,afp,3,0.002333223843957091,0.003015175877569276,0.004684325042319763,17.853965731850007
edge_rolloff,1,afp,5,0.0012192671131741194,0.0018992934606645686,0.0023968926890941726,179.6318731567523
edge_rolloff,1,afp,7,0.0004997254834383647,0.0009369141052869951,0.0008143465856682468,2523.609497503886
edge_rolloff,1,afp,9,0.00039047664612427383,0.000743847832390441,0.0006665891971747537,44308.901629078595
edge_rolloff,1,afp,11,0.0003090598313312616,0.0005988930784907423,0.000600405353577359,126358.73504871043
