family,index,round,score,global_rmse,local_rmse,low_rmse,p95_abs,condition,success,weighted_coverage,swap_out_hessian,swap_in_hessian,improved
smooth_low_variation,0,0,-0.002808655238149767,2.045879214187189e-05,3.6385204512485903e-05,1.3850798256312769e-05,4.5884538013776755e-05,194.0584191614393,True,14.48213329319869,,,
smooth_low_variation,0,1,-0.0028243241637008008,1.8402694334370426e-05,3.2360943516545894e-05,1.2696973195392756e-05,4.018475173714475e-05,191.8295609247723,True,14.512973017703906,0.3004742498932625,0.36086745541991233,True
smooth_low_variation,0,2,-0.0029086189808370535,1.6911660032408836e-05,3.0038504355575993e-05,1.147447996956506e-05,3.3622458885007376e-05,195.28040058539446,True,14.90550936963639,0.29586221312233296,0.6163902764548261,True
smooth_low_variation,0,3,-0.002936626216568525,1.5595965462703462e-05,2.765671079335889e-05,1.0611129754026468e-05,2.8037899611237537e-05,202.20723242243238,True,15.016935484994711,0.2575344327103034,0.48212219174844984,True
smooth_low_variation,0,4,-0.002936626216568525,1.5595965462703462e-05,2.765671079335889e-05,1.0611129754026468e-05,2.8037899611237537e-05,202.20723242243238,True,15.016935484994711,,,False
smooth_low_variation,0,5,-0.0029519131791792483,1.56970991673361e-05,2.726277605033336e-05,1.1044063461599433e-05,2.7749313074939615e-05,202.86058302921467,True,15.090232070198507,0.3191344953158315,0.9319752521673547,True
smooth_low_variation,0,6,-0.002977294627003927,1.5787533804823274e-05,2.713587298554297e-05,1.128097845834055e-05,2.815313458538688e-05,213.5857981150382,True,15.216417629160025,0.32382461501,0.9670511684358499,True
smooth_low_variation,0,7,-0.002984023299369172,1.561489242602665e-05,2.5610193052592162e-05,1.1858932966576012e-05,2.6223672910326875e-05,212.21136626240056,True,15.23508524471247,0.3058127415658463,0.6829698754564908,True
smooth_low_variation,0,8,-0.0029892781134727075,1.600314543891424e-05,2.492071225753502e-05,1.28339089658099e-05,2.8535828182926115e-05,209.20154292202764,True,15.256922882940307,0.3054015618704558,0.8000286293718459,True
smooth_low_variation,0,9,-0.0030232512848472125,1.0526385200983712e-05,1.3868359799772074e-05,9.507273567157853e-06,2.3488957798462276e-05,203.16164773247786,True,15.297170678388872,0.31672589377799865,0.9652589441500228,True
smooth_low_variation,0,10,-0.0030232512848472125,1.0526385200983712e-05,1.3868359799772074e-05,9.507273567157853e-06,2.3488957798462276e-05,203.16164773247786,True,15.297170678388872,,,False
smooth_low_variation,0,11,-0.003023387828403898,1.046097317976303e-05,1.3711406614599736e-05,9.473946720427417e-06,2.3221814645547895e-05,202.52847501101752,True,15.296074519103353,0.32948433704999563,0.4785714522060249,True
smooth_low_variation,0,12,-0.003023387828403898,1.046097317976303e-05,1.3711406614599736e-05,9.473946720427417e-06,2.3221814645547895e-05,202.52847501101752,True,15.296074519103353,,,False
smooth_low_variation,1,0,-0.0018570554223648458,0.0002272142042893462,0.0004063516197844351,0.00015232826705177468,0.0005050668483787676,178.9825520543919,True,14.180100616276984,,,
smooth_low_variation,1,1,-0.002082619499072905,0.00017945875044529,0.0003275402044026405,0.0001157758034321269,0.0003381845725240002,199.40396529678296,True,14.340138138315398,0.30613977761810157,0.3922816592855929,True
smooth_low_variation,1,2,-0.0023613418973712167,0.00014588100856926202,0.0002297796527677156,0.00011570838029378683,0.00028673050736430965,210.49649745578796,True,14.661576317803762,0.31611077869206444,0.5449776495385293,True
smooth_low_variation,1,3,-0.00238816760281321,0.00014092451948692663,0.0002198765743159783,0.00011280973304528571,0.00027246870620830944,211.39712613527496,True,14.67931892392348,0.25,0.44878509769465375,True
smooth_low_variation,1,4,-0.002395780852492733,0.00014507486495397853,0.00021483506235683733,0.00012148715015596059,0.00027466154201726787,211.54500398623392,True,14.691502914034302,0.28798692315080665,0.4093355435291658,True
smooth_low_variation,1,5,-0.0024168399840797904,0.0001493930927243748,0.00020278581021071108,0.0001327000527931395,0.00026447603693433876,217.51659836479885,True,14.706934128469904,0.27789403460301104,0.43829355503564726,True
smooth_low_variation,1,6,-0.0024675608529536167,0.00014443947532923873,0.00017234313340500532,0.00013656182411406401,0.0002771242654510074,220.09484505258476,True,14.654175625410577,0.33729119475160263,0.8707444279730963,True
smooth_low_variation,1,7,-0.0024832358511503215,0.00014509438603792018,0.00016649469572162465,0.00013922105545161251,0.00027634917963744344,224.61196358231734,True,14.681727121366235,0.2918768715151274,0.8478953742080316,True
smooth_low_variation,1,8,-0.0024832358511503215,0.00014509438603792018,0.00016649469572162465,0.00013922105545161251,0.00027634917963744344,224.61196358231734,True,14.681727121366235,,,False
smooth_low_variation,1,9,-0.0024832358511503215,0.00014509438603792018,0.00016649469572162465,0.00013922105545161251,0.00027634917963744344,224.61196358231734,True,14.681727121366235,,,False
smooth_low_variation,1,10,-0.0024832358511503215,0.00014509438603792018,0.00016649469572162465,0.00013922105545161251,0.00027634917963744344,224.61196358231734,True,14.681727121366235,,,False
smooth_low_variation,1,11,-0.002520739114553402,0.0001577249436986031,0.00015770751325042357,0.0001577293084664666,0.00030731518259488025,228.37329842927522,True,14.851114788826443,0.32669372733470226,1.6151864397518643,True
smooth_low_variation,1,12,-0.0025336723241483634,0.0001611655358938182,0.00014517542370130466,0.0001649273545264444,0.00033010702575591417,233.5872444984706,True,14.817061969447977,0.3590101192680916,0.3938329437859258,True
smooth_low_variation,2,0,-0.002684237779061414,4.570152383247523e-05,8.608556412650044e-05,2.7492335632867016e-05,9.150429404136309e-05,188.54082172385316,True,14.445987982639574,,,
smooth_low_variation,2,1,-0.002763475459448681,4.436496099208709e-05,8.340177697930447e-05,2.6818169519017584e-05,8.870508493902322e-05,194.83621084342062,True,14.810668539262407,0.30508291915023833,0.3660782259126209,True
