family,index,round,score,global_rmse,local_rmse,residual_local_rmse,weighted_coverage,swap_out_hessian,swap_in_hessian,improved
smooth_low_variation,0,0,-0.0027361187633519685,2.045879214187189e-05,4.242379811761865e-05,4.242379811761865e-05,14.217731708174792,,,
smooth_low_variation,0,1,-0.002744579343007815,2.0636913348316734e-05,4.285069512614893e-05,4.285069512614893e-05,14.265300906823683,0.27305467863894795,0.644702173911979,True
smooth_low_variation,0,2,-0.0027913689779392355,1.8641731478389988e-05,3.8574272504901985e-05,3.8574272504901985e-05,14.445439840263372,0.2719643196780063,1.3754205063017473,True
smooth_low_variation,0,3,-0.002802508213378646,1.911640519647584e-05,3.954369468105277e-05,3.954369468105277e-05,14.5134459633564,0.2750338913645685,0.8008294915752056,True
smooth_low_variation,0,4,-0.0028145449479965736,1.8726157067072388e-05,3.870315359242096e-05,3.870315359242096e-05,14.563062849640543,0.27937390389472894,0.38614761923354124,True
smooth_low_variation,0,5,-0.002825082459602764,1.85186363147331e-05,3.827368881497451e-05,3.827368881497451e-05,14.610310789940971,0.27341715899123115,0.4038709741362072,True
smooth_low_variation,0,6,-0.0028371309528005453,1.7244951121549202e-05,3.541592417641148e-05,3.541592417641148e-05,14.634892742418689,0.2544605213482723,0.44265169013434513,True
smooth_low_variation,0,7,-0.0028384203677568956,1.6914021964816723e-05,3.4557098952349096e-05,3.4557098952349096e-05,14.630882212870139,0.28297202768471874,0.5259620723564389,True
smooth_low_variation,0,8,-0.0028384203677568956,1.6914021964816723e-05,3.4557098952349096e-05,3.4557098952349096e-05,14.630882212870139,,,False
smooth_low_variation,0,9,-0.0028384203677568956,1.6914021964816723e-05,3.4557098952349096e-05,3.4557098952349096e-05,14.630882212870139,,,False
smooth_low_variation,0,10,-0.002849541697726177,1.6385944940962442e-05,3.367503433136409e-05,3.367503433136409e-05,14.674807315232178,0.27290933851730903,0.5473020569157983,True
smooth_low_variation,0,11,-0.002849541697726177,1.6385944940962442e-05,3.367503433136409e-05,3.367503433136409e-05,14.674807315232178,,,False
smooth_low_variation,0,12,-0.002849707340190072,1.6587580953896093e-05,3.397290610341676e-05,3.397290610341676e-05,14.67969689327986,0.27342695949224105,0.3357889268889885,True
smooth_low_variation,1,0,-0.0015572639582548747,0.0002272142042893462,0.00047486015014828054,0.00047486015014828054,13.78970735174098,,,
smooth_low_variation,1,1,-0.0015612730067485535,0.00022560665768836836,0.000471433792475951,0.000471433792475951,13.766594695063107,0.26741438684869895,0.3063785589978617,True
smooth_low_variation,1,2,-0.0015970274184410407,0.0002190976804181379,0.000457754497291656,0.000457754497291656,13.772609091535367,0.2567287801405484,0.31296179499403515,True
smooth_low_variation,1,3,-0.0017926355687110191,0.00018627566331331664,0.0003787366541714934,0.0003787366541714934,13.776606865379485,0.2654069583715993,0.34808509421231115,True
smooth_low_variation,1,4,-0.0017926355687110191,0.00018627566331331664,0.0003787366541714934,0.0003787366541714934,13.776606865379485,,,False
smooth_low_variation,1,5,-0.00179486291831739,0.00018493941309095574,0.0003812870891952049,0.00038128708919520494,13.807204321292579,0.263778237184815,0.5869800866074557,True
smooth_low_variation,1,6,-0.0020814515965535286,0.0001513675568282273,0.0002962539638473499,0.0002962539638473499,14.200698896344116,0.25,1.9999999999992493,True
smooth_low_variation,1,7,-0.002249973098100471,0.00012496758002427318,0.00022489552002090627,0.0002248955200209062,14.179882470838011,0.26463574221107233,0.40507537634872304,True
smooth_low_variation,1,8,-0.0022667780005380007,0.00012233410595927945,0.00021676017238019495,0.00021676017238019498,14.1673522993834,0.2735343683240846,0.34829758333251315,True
smooth_low_variation,1,9,-0.0022765434590539136,0.00012058524865334287,0.00021394856883059414,0.0002139485688305941,14.178616369049871,0.2638969709473324,0.30425777604111187,True
smooth_low_variation,1,10,-0.002356682123666121,0.00011217502961704774,0.00018372334870479613,0.00018372334870479613,14.227450090640003,0.274646395135994,0.5486795595380372,True
smooth_low_variation,1,11,-0.002430405152357844,0.00010233923455427438,0.00017202834663227113,0.00017202834663227113,14.42701248754137,0.2740061700484439,1.016025818103493,True
smooth_low_variation,1,12,-0.0024398558472431974,9.928151584690237e-05,0.0001660513517398441,0.0001660513517398441,14.3977131707839,0.2708267433525945,0.3015654653853527,True
smooth_low_variation,2,0,-0.002601792613314616,4.570152383247523e-05,9.066746827201699e-05,9.066746827201697e-05,14.16681223552363,,,
smooth_low_variation,2,1,-0.002623646352383554,4.674437257664642e-05,9.032984776020314e-05,9.032984776020314e-05,14.277834564343085,0.2613123034359152,1.1850518834659094,True
smooth_low_variation,2,2,-0.0026287029751510043,4.703440541549637e-05,9.099724396742593e-05,9.09972439674259e-05,14.311408653498619,0.2868799080265411,0.3279537783722829,True
smooth_low_variation,2,3,-0.0026350565086465123,4.743017118093064e-05,9.242002423256444e-05,9.242002423256444e-05,14.359738647520999,0.25987009769357305,0.6410141426881748,True
smooth_low_variation,2,4,-0.0026385486872079283,4.743386594130071e-05,9.238964873899826e-05,9.23896487389983e-05,14.376906665320876,0.2791108393597261,0.3652244727865298,True
smooth_low_variation,2,5,-0.002647121275249216,4.610475296202946e-05,9.011245916704245e-05,9.011245916704245e-05,14.389782847518413,0.29168974395418923,0.32650629714265955,True
smooth_low_variation,2,6,-0.002661718634833658,4.499679755895834e-05,8.732978935644047e-05,8.732978935644044e-05,14.428707502866596,0.2943479813184774,0.34234447479022523,True
smooth_low_variation,2,7,-0.002666628453038202,4.4372754009945174e-05,8.488307213566431e-05,8.488307213566432e-05,14.425057524631294,0.29227370960758,0.32704655842635144,True
smooth_low_variation,2,8,-0.0026698472250948025,4.4432219506869086e-05,8.546586565633594e-05,8.546586565633592e-05,14.4474223459858,0.26840726729512066,0.33788452420176884,True
smooth_low_variation,2,9,-0.002675242387243494,4.4302545047167295e-05,8.481932363043455e-05,8.481932363043453e-05,14.467122728665261,0.29444475898626826,0.4157400913538574,True
smooth_low_variation,2,10,-0.0027451440834929575,3.793542658605002e-05,6.256213570539637e-05,6.256213570539638e-05,14.556659441375349,0.2966923151632403,0.8617232490947038,True
smooth_low_variation,2,11,-0.0027648649783598264,3.8336661006870415e-05,6.219802146430905e-05,6.219802146430904e-05,14.653537916842652,0.2840970378606564,0.7362171703639373,True
smooth_low_variation,2,12,-0.002776397011422734,3.645835603742031e-05,6.0061479774456525e-05,6.006147977445654e-05,14.679907004988952,0.2704089448170693,0.48812230644838484,True
smooth_low_variation,3,0,-0.0022423239518746694,0.00010390968610713687,0.00021762220904935739,0.00021762220904935739,13.961795832664942,,,
smooth_low_variation,3,1,-0.0023289325670933685,9.044526905980412e-05,0.00018262660087423041,0.00018262660087423041,13.968811839726724,0.2733652142115412,0.43270590519711055,True
smooth_low_variation,3,2,-0.002342717413195903,8.866074475954219e-05,0.00017950124438877814,0.00017950124438877814,13.996778544762202,0.272091091790251,0.33531893134768775,True
smooth_low_variation,3,3,-0.002352618291813642,8.752546491122291e-05,0.00017797118394500392,0.00017797118394500392,14.024923419060615,0.28379430533186556,0.3722079675546707,True
smooth_low_variation,3,4,-0.0023575341979673948,8.65523265186218e-05,0.00017408804832420323,0.00017408804832420323,14.004835117753164,0.2814928508667803,0.3349636842806037,True
smooth_low_variation,3,5,-0.0023645215266272016,8.592709398697665e-05,0.00017198686903558254,0.00017198686903558254,14.015108510685613,0.2689301592648883,0.3276199860046587,True
smooth_low_variation,3,6,-0.0023946338069244597,8.646768035796839e-05,0.00016761772779002633,0.00016761772779002633,14.12358914625991,0.27207556877401823,0.9449302465397846,True
smooth_low_variation,3,7,-0.0023952517260477915,8.65895361500832e-05,0.0001654333513941907,0.0001654333513941907,14.104898162779826,0.2861008172709078,0.36418325306262955,True
smooth_low_variation,3,8,-0.0024017496370204484,8.600926888690152e-05,0.0001640025774994305,0.00016400257749943047,14.119820948905911,0.27168938336400256,0.3238814122889271,True
smooth_low_variation,3,9,-0.0024216221558601854,8.2918450537506e-05,0.00015478610906192723,0.00015478610906192723,14.10926064987321,0.2914496451526036,0.5868842369515652,True
smooth_low_variation,3,10,-0.0024216221558601854,8.2918450537506e-05,0.00015478610906192723,0.00015478610906192723,14.10926064987321,,,False
smooth_low_variation,3,11,-0.0024287102225160517,8.33489460981111e-05,0.0001564157961128387,0.00015641579611283868,14.16355775322741,0.2914491711755185,0.4178251983981254,True
smooth_low_variation,3,12,-0.002459389052774673,8.246128542016828e-05,0.00014686057294960864,0.00014686057294960861,14.214572563707693,0.28321044056525824,0.3917639182595277,True
smooth_low_variation,4,0,-0.002442922583012681,9.269709898327252e-05,0.00018561530747860243,0.00018561530747860243,14.58065531163544,,,
smooth_low_variation,4,1,-0.002466615285106999,9.137957652554339e-05,0.00017718061147127767,0.00017718061147127767,14.606075575743306,0.26275746497576447,0.5593942812468955,True
smooth_low_variation,4,2,-0.002466615285106999,9.137957652554339e-05,0.00017718061147127767,0.00017718061147127767,14.606075575743306,,,False
smooth_low_variation,4,3,-0.0024863141119481824,9.03014668024442e-05,0.00016876732350823672,0.00016876732350823672,14.612942959712559,0.26135492733598364,0.3345185506149061,True
smooth_low_variation,4,4,-0.0025171832753475175,8.884683855294421e-05,0.000165660468372749,0.000165660468372749,14.728170370322985,0.2737142219426353,0.9964166137990652,True
smooth_low_variation,4,5,-0.0025799630195378546,7.84518532942313e-05,0.0001381313861650786,0.0001381313861650786,14.707921072352484,0.2809919685387192,0.5683589634386588,True
smooth_low_variation,4,6,-0.00258040400107534,7.836515648813624e-05,0.00013860623998718499,0.00013860623998718499,14.714559747686025,0.28057121255112055,0.3126460830396738,True
smooth_low_variation,4,7,-0.0025805403443058678,7.767324196724306e-05,0.0001375471838030257,0.0001375471838030257,14.700926565346567,0.26770253539332967,0.312324684871436,True
smooth_low_variation,4,8,-0.0025805403443058678,7.767324196724306e-05,0.0001375471838030257,0.0001375471838030257,14.700926565346567,,,False
smooth_low_variation,4,9,-0.0026281778486194215,7.038323149806656e-05,0.00011966911306143494,0.00011966911306143494,14.719413809467147,0.2818299902162283,0.4520304413316314,True
smooth_low_variation,4,10,-0.002647214218843875,6.658575558548005e-05,0.00011594045946381665,0.00011594045946381669,14.757389581650896,0.2732889110298704,0.6520728574731354,True
smooth_low_variation,4,11,-0.0026506441828687785,6.922368171231926e-05,0.0001152390743263572,0.00011523907432635722,14.78053983475065,0.2765879683439332,0.3298007610345519,True
smooth_low_variation,4,12,-0.0026506441828687785,6.922368171231926e-05,0.0001152390743263572,0.00011523907432635722,14.78053983475065,,,False
edge_rolloff,0,0,0.0008303338497432414,0.0007293425380978233,0.0014081075654193852,0.0014081075654193852,13.928145987321608,,,
edge_rolloff,0,1,0.000788687251493168,0.0007244745864858492,0.0013956960264948962,0.0013956960264948962,13.984820946536093,0.27124237800183465,0.6179268627553285,True
edge_rolloff,0,2,0.000717293679049714,0.0007087404391937032,0.0013649077018302626,0.0013649077018302626,13.947537744480138,0.26754039221819054,0.5643294335443061,True
edge_rolloff,0,3,0.000687827225176049,0.0007063655291789428,0.0013524149333653886,0.0013524149333653886,13.9549445870097,0.25739422696804654,0.4003715842292912,True
edge_rolloff,0,4,0.000566698504755199,0.0006806684650415496,0.0013096230652278702,0.0013096230652278702,13.993486220017424,0.2535774223815755,0.8742646793355556,True
