family,index,round,score,global_rmse,local_rmse,residual_local_rmse,weighted_coverage,improved
smooth_low_variation,0,0,-0.002413893298291478,0.00010837214393253397,0.00016619955430939294,0.00016619955430939294,14.356422531368686,
smooth_low_variation,0,1,-0.0024281967443550954,0.00010583035095045734,0.00016597343292959875,0.00016597343292959875,14.412856522288552,True
smooth_low_variation,0,2,-0.002436775923431337,9.827547337581509e-05,0.0001641371093895561,0.0001641371093895561,14.3986966326261,True
smooth_low_variation,0,3,-0.0024414784344231623,9.459765362367499e-05,0.00016509744256714014,0.00016509744256714014,14.413903587189157,True
smooth_low_variation,0,4,-0.002441554831931334,9.491293396796426e-05,0.00016699356727932206,0.0001669935672793221,14.435771285929372,True
smooth_low_variation,0,5,-0.002441554831931334,9.491293396796426e-05,0.00016699356727932206,0.0001669935672793221,14.435771285929372,False
smooth_low_variation,0,6,-0.002577444934804753,7.178626541021328e-05,0.00011198356657641392,0.0001119835665764139,14.421983450127177,True
smooth_low_variation,0,7,-0.002582827580326624,7.158927865472292e-05,0.00010877385209914955,0.00010877385209914955,14.414209741947804,True
smooth_low_variation,0,8,-0.002591686392272874,7.104385579744999e-05,0.00010760242979560113,0.00010760242979560113,14.443476753205433,True
smooth_low_variation,0,9,-0.0025995405308996606,7.282735321356605e-05,0.00010434906358394817,0.00010434906358394815,14.457504588197589,True
smooth_low_variation,0,10,-0.0026285043488202555,7.001095800764777e-05,9.332438083060439e-05,9.332438083060436e-05,14.472482532860862,True
smooth_low_variation,0,11,-0.0026381352280383714,7.21440887065468e-05,9.394248143190459e-05,9.394248143190459e-05,14.537792638759589,True
smooth_low_variation,0,12,-0.0026437386337614336,7.376965398771123e-05,9.430686616139009e-05,9.430686616139009e-05,14.57776353344032,True
smooth_low_variation,0,13,-0.0026437386337614336,7.376965398771123e-05,9.430686616139009e-05,9.430686616139009e-05,14.57776353344032,False
smooth_low_variation,0,14,-0.002646320645355107,7.365490338098046e-05,9.183162766252086e-05,9.183162766252088e-05,14.564109834136907,True
smooth_low_variation,1,0,-0.002349605718541286,0.00011726336240115117,0.00018457890311305197,0.00018457890311305197,14.272423887399233,
smooth_low_variation,1,1,-0.0023496271179276186,0.00011903676298807515,0.00018697877637461805,0.00018697877637461808,14.306596556511957,True
smooth_low_variation,1,2,-0.0023792259721388395,0.0001066687495855632,0.00018593495352592465,0.00018593495352592468,14.381790620644221,True
smooth_low_variation,1,3,-0.0023891503365551826,0.00010496554394512409,0.00018146978987287825,0.00018146978987287825,14.376012196166755,True
smooth_low_variation,1,4,-0.0025153675987869702,8.66496095733321e-05,0.00013634133060713187,0.00013634133060713192,14.441670013176397,True
smooth_low_variation,1,5,-0.00252482306905866,8.239557162407667e-05,0.00013395990363491113,0.00013395990363491113,14.442672191580249,True
smooth_low_variation,1,6,-0.00254110348146079,7.672453232911363e-05,0.0001250896824521147,0.0001250896824521147,14.402581734696723,True
smooth_low_variation,1,7,-0.002572444920703822,7.417374650120147e-05,0.00011640671852152269,0.00011640671852152269,14.455363880501105,True
smooth_low_variation,1,8,-0.0026128314093972135,7.57552462428301e-05,0.00010224258506310551,0.00010224258506310553,14.516480421362825,True
smooth_low_variation,1,9,-0.00261313128514814,7.478036648658564e-05,0.00010292699205031292,0.00010292699205031288,14.52029167470191,True
smooth_low_variation,1,10,-0.002621457901819841,7.558267117520725e-05,0.00010560685001373077,0.00010560685001373077,14.594074790119413,True
smooth_low_variation,1,11,-0.002632387488369952,7.398122335441266e-05,9.863956220704232e-05,9.863956220704228e-05,14.567558961795768,True
smooth_low_variation,1,12,-0.002661220349942265,7.347881322493852e-05,9.064585793105583e-05,9.064585793105577e-05,14.625277324112103,True
smooth_low_variation,1,13,-0.002669422780175789,6.902155070738901e-05,8.470349136085213e-05,8.470349136085209e-05,14.581608313704834,True
smooth_low_variation,1,14,-0.002669422780175789,6.902155070738901e-05,8.470349136085213e-05,8.470349136085209e-05,14.581608313704834,False
smooth_low_variation,2,0,-0.001561265010233553,0.00025535913117127965,0.00045034244959518265,0.0004503424495951826,13.81171642777358,
smooth_low_variation,2,1,-0.0015846071986619404,0.0002516349096026275,0.0004418784825130436,0.0004418784825130436,13.820934607709797,True
smooth_low_variation,2,2,-0.0015873231169926862,0.00024910619433244935,0.0004352923818203926,0.0004352923818203926,13.7527165657398,True
smooth_low_variation,2,3,-0.0015873231169926862,0.00024910619433244935,0.0004352923818203926,0.0004352923818203926,13.7527165657398,False
smooth_low_variation,2,4,-0.0016368217285143596,0.00023644387967419696,0.0004195626377100399,0.0004195626377100399,13.7717357368982,True
smooth_low_variation,2,5,-0.0016368217285143596,0.00023644387967419696,0.0004195626377100399,0.0004195626377100399,13.7717357368982,False
smooth_low_variation,2,6,-0.00199294795614164,0.00019783520559234235,0.0002970981019306629,0.0002970981019306629,14.07344587894187,True
smooth_low_variation,2,7,-0.002134695772292097,0.00017754892225063675,0.0002447688680103661,0.0002447688680103661,14.131296586822511,True
