family,index,method,global_rmse,local_rmse,condition
smooth_low_variation,0,regular_poly_only,7.34019887645952e-05,0.00012146740314341074,366.6767281154971
smooth_low_variation,0,regular_poly_residual_phs,4.289984011669038e-05,8.565334014682851e-05,366.6767281154971
smooth_low_variation,0,random_uniform_poly_residual_phs,4.536456134051837e-05,9.680887885656781e-05,260.7957809196309
smooth_low_variation,0,jittered_grid_poly_residual_phs,2.7273525103321452e-05,5.45544539877302e-05,366.5579699572212
smooth_low_variation,0,latin_hypercube_poly_residual_phs,8.561275242957021e-05,0.00017609550755020125,246.05464759595145
smooth_low_variation,0,poisson_disk_poly_residual_phs,1.8594260832430827e-05,3.3658048017411054e-05,174.2750953531761
smooth_low_variation,0,afp_poly_residual_phs,2.322418692371832e-05,4.548721232917475e-05,177.61154225823643
smooth_low_variation,0,hessian_weighted_poly_residual_phs,1.4556601981876144e-05,2.1835213116155657e-05,217.17849860174005
smooth_low_variation,0,afp_exchange_poly_residual_phs,1.171220392227881e-05,1.6132264935821837e-05,204.63035225046625
smooth_low_variation,1,regular_poly_only,0.001000890247390371,0.0013213966231057307,366.6767281154971
smooth_low_variation,1,regular_poly_residual_phs,0.00021118802057121805,0.00029386176983842047,366.6767281154971
smooth_low_variation,1,random_uniform_poly_residual_phs,0.0008463258804752033,0.001736070602061704,277.7260538523741
smooth_low_variation,1,jittered_grid_poly_residual_phs,0.00026082104654155186,0.00037168561764940804,268.0363651253282
smooth_low_variation,1,latin_hypercube_poly_residual_phs,0.0009031515615613988,0.0019021694144509187,224.8474902159726
smooth_low_variation,1,poisson_disk_poly_residual_phs,0.00015904626986686644,0.00028444645460305094,174.82119196330444
smooth_low_variation,1,afp_poly_residual_phs,0.00016812038564310053,0.00029834087721315256,178.03708651786772
smooth_low_variation,1,hessian_weighted_poly_residual_phs,0.00013658303503725266,0.00019167939610856827,184.23952217636457
smooth_low_variation,1,afp_exchange_poly_residual_phs,0.00012581026233344668,0.0001410300970214893,239.48829163431054
smooth_low_variation,2,regular_poly_only,0.00020868222858872184,0.00028705516022653406,366.6767281154971
smooth_low_variation,2,regular_poly_residual_phs,8.518662616582338e-05,0.00015664932482052283,366.6767281154971
smooth_low_variation,2,random_uniform_poly_residual_phs,0.00026364547131503535,0.0005587698386798947,344.13793482075874
smooth_low_variation,2,jittered_grid_poly_residual_phs,7.691601147444778e-05,0.00014747104532399872,337.1418352357837
smooth_low_variation,2,latin_hypercube_poly_residual_phs,0.0001799934736983956,0.0003631997079450249,236.09010495018734
smooth_low_variation,2,poisson_disk_poly_residual_phs,7.975205816043983e-05,0.00016218790732905919,190.6095486810736
smooth_low_variation,2,afp_poly_residual_phs,5.322292356550386e-05,8.726640544405714e-05,176.6796111750982
smooth_low_variation,2,hessian_weighted_poly_residual_phs,4.9780227998692586e-05,8.363664594218968e-05,193.02814865013275
smooth_low_variation,2,afp_exchange_poly_residual_phs,3.572869403368392e-05,5.2475542683159086e-05,204.2743354393704
smooth_low_variation,3,regular_poly_only,0.0006646991796656264,0.0007969353104144108,366.6767281154971
smooth_low_variation,3,regular_poly_residual_phs,0.00015145226454410852,0.0002613524927938828,366.6767281154971
smooth_low_variation,3,random_uniform_poly_residual_phs,0.0008060869919833364,0.001662882554088788,441.7831565648904
smooth_low_variation,3,jittered_grid_poly_residual_phs,0.00031366705946531505,0.0005864935592994713,316.74368461669695
smooth_low_variation,3,latin_hypercube_poly_residual_phs,0.0002623343068055912,0.0005261928480979098,287.8697620616864
smooth_low_variation,3,poisson_disk_poly_residual_phs,0.00012511872173677686,0.00018758523645445613,184.42747252475422
smooth_low_variation,3,afp_poly_residual_phs,0.0001855001713866251,0.00036315571596772065,182.10495080031205
smooth_low_variation,3,hessian_weighted_poly_residual_phs,0.00010443520253080133,0.00014451691675074273,201.13721461924385
smooth_low_variation,3,afp_exchange_poly_residual_phs,0.00010608886397636203,0.0001375809949481175,217.0058251618632
smooth_low_variation,4,regular_poly_only,0.00037393842003017317,0.0005409737710539577,366.6767281154971
smooth_low_variation,4,regular_poly_residual_phs,0.00013869738385341188,0.00028386731840802454,366.6767281154971
smooth_low_variation,4,random_uniform_poly_residual_phs,0.0005091986039022188,0.0009125811809664804,272.48749297144707
smooth_low_variation,4,jittered_grid_poly_residual_phs,0.00031152807502289885,0.0006768621196798558,360.91989563456667
smooth_low_variation,4,latin_hypercube_poly_residual_phs,0.000541639299937679,0.0011650892074590742,276.9385377688521
smooth_low_variation,4,poisson_disk_poly_residual_phs,0.00012048617138348898,0.00019136369507202495,183.97005027109833
smooth_low_variation,4,afp_poly_residual_phs,0.00013020993594966933,0.00020019702762316452,185.3306582351232
smooth_low_variation,4,hessian_weighted_poly_residual_phs,9.356864935597262e-05,0.0001346165391294995,201.15372473291188
smooth_low_variation,4,afp_exchange_poly_residual_phs,0.0001028949075240095,9.098739865040865e-05,227.3858179298711
edge_rolloff,0,regular_poly_only,0.0031395682964551735,0.006308297839046271,366.6767281154971
edge_rolloff,0,regular_poly_residual_phs,0.002849551974691539,0.005834873732905216,366.6767281154971
edge_rolloff,0,random_uniform_poly_residual_phs,0.0008901235140132061,0.0015042818804489452,235.51007029605134
edge_rolloff,0,jittered_grid_poly_residual_phs,0.002225703505165329,0.004579851333946698,361.9419705222603
edge_rolloff,0,latin_hypercube_poly_residual_phs,0.0011533049312757936,0.002122339831791777,207.59145662185065
edge_rolloff,0,poisson_disk_poly_residual_phs,0.0008244178256516131,0.0011091094545405435,195.4807919913642
edge_rolloff,0,afp_poly_residual_phs,0.0008315437057189061,0.0011620195148747399,186.4186521726071
edge_rolloff,0,hessian_weighted_poly_residual_phs,0.0008479215090811897,0.0012232046806687933,216.79399873230437
edge_rolloff,0,afp_exchange_poly_residual_phs,0.0006612772026997821,0.0007410252112890373,207.25772423672942
edge_rolloff,1,regular_poly_only,0.0045374616123448125,0.008716984500992888,366.6767281154971
edge_rolloff,1,regular_poly_residual_phs,0.004118315474182428,0.00809872172218675,366.6767281154971
edge_rolloff,1,random_uniform_poly_residual_phs,0.002043899424275,0.003500697525346719,240.25732513383437
edge_rolloff,1,jittered_grid_poly_residual_phs,0.0029100389969275394,0.005871700089342157,291.5335769827658
edge_rolloff,1,latin_hypercube_poly_residual_phs,0.0015221510062091192,0.0027828736003342376,240.6413318807498
edge_rolloff,1,poisson_disk_poly_residual_phs,0.001199389087796542,0.0018402848498520461,181.1179535879831
edge_rolloff,1,afp_poly_residual_phs,0.0010449045885057365,0.0014269620409378967,191.04858284315733
edge_rolloff,1,hessian_weighted_poly_residual_phs,0.0010822367845114641,0.0012659622840719526,186.3721861759996
edge_rolloff,1,afp_exchange_poly_residual_phs,0.0008643474362966264,0.0009661934806193392,205.96480334024895
edge_rolloff,2,regular_poly_only,0.004128417596277329,0.006661899717606223,366.6767281154971
edge_rolloff,2,regular_poly_residual_phs,0.003747056729775933,0.006188586359066876,366.6767281154971
