family,index,round,swap_out_hessian_weight,swap_in_hessian_weight,delta
smooth_low_variation,0,1,0.27937390389472894,0.3284881321873032,0.04911422829257428
smooth_low_variation,0,2,0.27266848688960227,1.3754205063017473,1.102752019412145
smooth_low_variation,0,3,0.26846875375583,0.5041395161534845,0.2356707623976545
smooth_low_variation,0,4,0.27138487382425347,0.40110822923012834,0.12972335540587487
smooth_low_variation,0,5,0.27341715899123115,0.3395219734218696,0.06610481443063848
smooth_low_variation,0,6,0.2914187364645101,0.5002351948551302,0.20881645839062013
smooth_low_variation,0,8,0.28204149007608526,0.8276136284153173,0.545572138339232
smooth_low_variation,0,9,0.29413384053180064,0.7268275082476215,0.4326936677158209
smooth_low_variation,0,11,0.2750338913645685,0.6171883846507931,0.34215449328622455
smooth_low_variation,0,12,0.30347560724686384,0.4934251964129507,0.18994958916608684
smooth_low_variation,1,1,0.2740061700484439,0.4173647603956542,0.14335859034721027
smooth_low_variation,1,2,0.2638969709473324,0.3021040481885348,0.038207077241202425
smooth_low_variation,1,3,0.2654069583715993,0.3405964928277736,0.07518953445617432
smooth_low_variation,1,4,0.2708267433525945,0.4840498861388477,0.2132231427862532
smooth_low_variation,1,5,0.2567287801405484,0.3642457924816587,0.10751701234111033
smooth_low_variation,1,6,0.26741438684869895,0.3316286627595183,0.06421427591081935
smooth_low_variation,1,7,0.28621537533164404,0.3009379350454291,0.014722559713785055
smooth_low_variation,1,8,0.2740378742444312,0.6661972022088791,0.3921593279644479
smooth_low_variation,1,10,0.2856227951786065,0.40507537634872304,0.11945258117011653
smooth_low_variation,1,11,0.29428854596525866,1.046265360102876,0.7519768141376173
smooth_low_variation,2,1,0.2840970378606564,0.38687311456366014,0.10277607670300376
smooth_low_variation,2,2,0.29528031130999177,0.6181540264435361,0.32287371513354435
smooth_low_variation,2,3,0.2704089448170693,0.8617232490947038,0.5913143042776345
smooth_low_variation,2,4,0.25987009769357305,0.714586451971144,0.45471635427757096
smooth_low_variation,2,6,0.25484372950697626,1.5071135079690738,1.2522697784620975
smooth_low_variation,2,7,0.30520347987187657,0.7090547047926956,0.40385122492081904
smooth_low_variation,2,10,0.3118967171588155,0.533080333627586,0.2211836164687705
smooth_low_variation,3,1,0.27168938336400256,0.4190215454176512,0.14733216205364863
smooth_low_variation,3,2,0.2932854262837012,0.3349636842806037,0.0416782579969025
smooth_low_variation,3,3,0.2964948410491044,0.3294007891542165,0.032905948105112104
smooth_low_variation,3,4,0.2814928508667803,0.6170987793829292,0.33560592851614895
smooth_low_variation,3,5,0.2689301592648883,0.4073520487668165,0.13842188950192824
smooth_low_variation,3,6,0.2914491711755185,0.4065951437834691,0.11514597260795062
smooth_low_variation,3,7,0.3031827128621771,0.3295184836278402,0.026335770765663125
smooth_low_variation,3,9,0.2733652142115412,0.4544996008923834,0.1811343866808422
smooth_low_variation,3,10,0.3050314812479952,0.3338290595092539,0.028797578261258727
smooth_low_variation,3,11,0.30834472167765636,0.3298147087335808,0.021469987055924455
smooth_low_variation,3,12,0.3086570845253903,0.34316339239250915,0.034506307867118835
smooth_low_variation,4,1,0.2732889110298704,0.3807765777858269,0.1074876667559565
smooth_low_variation,4,2,0.28403257755530903,0.47052181161096274,0.1864892340556537
smooth_low_variation,4,3,0.2765879683439332,0.3345185506149061,0.05793058227097292
smooth_low_variation,4,4,0.2840392018696441,0.32928559414973585,0.04524639228009175
smooth_low_variation,4,5,0.26135492733598364,0.3144478045389488,0.05309287720296518
smooth_low_variation,4,6,0.2920013255379722,0.3135362487885867,0.021534923250614513
smooth_low_variation,4,7,0.2931057336732882,0.5554074041078761,0.26230167043458796
smooth_low_variation,4,8,0.2818299902162283,0.7675720670695333,0.485742076853305
smooth_low_variation,4,10,0.288655726592589,0.3716187985749382,0.0829630719823492
smooth_low_variation,4,11,0.29732518571726707,0.31550252036576715,0.018177334648500076
smooth_low_variation,4,12,0.2982881859016364,0.8058354018466131,0.5075472159449766
edge_rolloff,0,1,0.2780710567457025,0.6641450038221521,0.38607394707644965
edge_rolloff,0,2,0.2697761263273228,0.7113257298360722,0.44154960350874944
edge_rolloff,0,3,0.28436390329199607,0.5187286326705969,0.2343647293786008
edge_rolloff,0,4,0.2928443121117604,0.8618958209395088,0.5690515088277484
edge_rolloff,0,5,0.30532163407113927,0.6606609081172525,0.35533927404611326
edge_rolloff,0,6,0.30590765266636266,0.4655468300416775,0.15963917737531486
edge_rolloff,0,7,0.3304159640187456,0.43909963874518354,0.10868367472643792
edge_rolloff,0,8,0.34115919403694805,0.7002137025379964,0.35905450850104836
edge_rolloff,0,9,0.30575414085513647,1.6780863155975088,1.3723321747423722
edge_rolloff,1,1,0.2600859117177683,0.3532626026001482,0.0931766908823799
edge_rolloff,1,2,0.28233135837382906,0.3857281345299153,0.10339677615608622
edge_rolloff,1,3,0.26394059407608267,0.3464737422900672,0.08253314821398455
edge_rolloff,1,4,0.2825782564438902,0.5620582305022903,0.27947997405840014
edge_rolloff,1,5,0.2937239644023178,0.3934435028407418,0.09971953843842402
edge_rolloff,1,6,0.3018443864205361,0.9195737609359759,0.6177293745154397
edge_rolloff,1,7,0.2865228201463529,0.3593709113139908,0.07284809116763791
edge_rolloff,1,8,0.27189078930551136,1.85951970247828,1.5876289131727686
edge_rolloff,1,9,0.3048944408475699,1.9999999999995175,1.6951055591519477
edge_rolloff,1,10,0.3193797102520167,0.4457415475181081,0.1263618372660914
edge_rolloff,1,11,0.32151414909687037,0.9132930355287487,0.5917788864318784
edge_rolloff,1,12,0.33842249333650276,0.8315561279979222,0.49313363466141946
edge_rolloff,2,1,0.26017496608242097,1.896573540516295,1.636398574433874
edge_rolloff,2,2,0.27093778777035155,0.679045127979669,0.40810734020931744
edge_rolloff,2,3,0.284938175689455,0.6198941143666263,0.3349559386771713
edge_rolloff,2,4,0.30023601526260957,0.44992633835879353,0.14969032309618396
edge_rolloff,2,5,0.2992937319056766,0.4376604441994298,0.1383667122937532
edge_rolloff,2,6,0.31405280869426555,0.499844909179601,0.18579210048533545
edge_rolloff,2,7,0.2677395674269947,0.7194117034108605,0.4516721359838658
edge_rolloff,2,8,0.303646589913609,0.8961127468857186,0.5924661569721097
edge_rolloff,2,9,0.34964045388971576,0.745551423020771,0.3959109691310553
edge_rolloff,2,10,0.3307356805904752,1.4769663988982547,1.1462307183077796
edge_rolloff,3,1,0.2738594061788311,0.4729415797835023,0.19908217360467123
edge_rolloff,3,2,0.284543276932875,0.581118639789112,0.29657536285623703
edge_rolloff,3,3,0.2629446525988278,0.45894857908124864,0.19600392648242082
edge_rolloff,3,4,0.29682084554096066,0.4659834716920951,0.16916262615113442
edge_rolloff,3,5,0.3109939073004191,0.868737118022694,0.557743210722275
edge_rolloff,3,6,0.26162316486570547,0.4784634881629027,0.2168403232971972
edge_rolloff,3,7,0.32252972431518473,0.47744995925426004,0.1549202349390753
edge_rolloff,3,9,0.3218437272000805,0.7024564405307744,0.3806127133306939
edge_rolloff,3,10,0.28903017857069746,0.4041386091147404,0.11510843054404296
edge_rolloff,3,12,0.3233753747468843,0.9320206656986417,0.6086452909517575
edge_rolloff,4,1,0.2757341221545307,0.7272154119652879,0.45148128981075725
edge_rolloff,4,2,0.27588075161278647,0.9891146472921878,0.7132338956794013
edge_rolloff,4,3,0.26682735571662747,0.6700093592057813,0.40318200348915384
edge_rolloff,4,4,0.3001324942219911,0.5230368935790968,0.22290439935710565
