family,index,layout,high_hessian_point_ratio,mean_fill_distance_high_hessian
smooth_low_variation,0,afp,0.234375,0.08264902005318836
smooth_low_variation,0,exchange,0.5,0.05453801068404386
smooth_low_variation,1,afp,0.3125,0.07589819898121651
smooth_low_variation,1,exchange,0.53125,0.048312347256154624
smooth_low_variation,2,afp,0.296875,0.07433304030841426
smooth_low_variation,2,exchange,0.578125,0.045689650487838664
smooth_low_variation,3,afp,0.296875,0.0784313959485667
smooth_low_variation,3,exchange,0.484375,0.05291998701074862
smooth_low_variation,4,afp,0.3125,0.07149361140475233
smooth_low_variation,4,exchange,0.53125,0.052178794384613834
edge_rolloff,0,afp,0.265625,0.08150748890678722
edge_rolloff,0,exchange,0.578125,0.04611257240465359
edge_rolloff,1,afp,0.3125,0.07761714930565523
edge_rolloff,1,exchange,0.578125,0.051690529839749345
edge_rolloff,2,afp,0.296875,0.07527076877274946
edge_rolloff,2,exchange,0.546875,0.0515445321426921
edge_rolloff,3,afp,0.265625,0.08491692948168854
edge_rolloff,3,exchange,0.5625,0.056754255396496575
edge_rolloff,4,afp,0.265625,0.07972933601530757
edge_rolloff,4,exchange,0.546875,0.05447031180708292
local_bump,0,afp,0.28125,0.08190282055487615
local_bump,0,exchange,0.59375,0.04933096506053482
local_bump,1,afp,0.21875,0.08501254943545081
local_bump,1,exchange,0.546875,0.046643179658371454
local_bump,2,afp,0.21875,0.08129543716973608
local_bump,2,exchange,0.453125,0.048315738286517695
local_bump,3,afp,0.265625,0.0779524801224319
local_bump,3,exchange,0.53125,0.047679119723949906
local_bump,4,afp,0.265625,0.07732333179398387
local_bump,4,exchange,0.515625,0.04937611790156996
mid_frequency_undulation,0,afp,0.265625,0.07923574835573466
mid_frequency_undulation,0,exchange,0.546875,0.045818169694249435
mid_frequency_undulation,1,afp,0.296875,0.07353791740938165
mid_frequency_undulation,1,exchange,0.515625,0.05148448454407933
mid_frequency_undulation,2,afp,0.296875,0.07993242857434467
mid_frequency_undulation,2,exchange,0.5625,0.0526979208146508
mid_frequency_undulation,3,afp,0.234375,0.0841688031809368
mid_frequency_undulation,3,exchange,0.484375,0.054927350063896666
mid_frequency_undulation,4,afp,0.265625,0.07976066567550837
mid_frequency_undulation,4,exchange,0.5,0.050021913977549556
