family,index,degree,trend_energy_ratio,detrended_residual_energy_ratio,condition,global_rmse,local_rmse
smooth_low_variation,0,3,0.8268130381883081,0.1731869608623182,20.079365091977326,0.0002884821711803985,0.00036468166858523524
smooth_low_variation,0,5,0.9945487865777922,0.00545121247283478,174.06707630297768,5.1180902218366377e-05,7.229284341833531e-05
smooth_low_variation,0,7,0.999954189685701,4.5809364928250726e-05,1565.5388657653837,4.691789488494336e-06,6.525375596449457e-06
smooth_low_variation,0,9,0.999999829554909,1.6949571875638375e-07,14518.415319288975,2.8539131257898803e-07,3.859792227862505e-07
smooth_low_variation,0,11,0.999999998699628,3.5100022415540754e-10,138201.81465116318,1.2987186563912776e-08,1.7162645037971007e-08
smooth_low_variation,1,3,0.9358956649866057,0.0641043350002626,20.079365091977326,0.0014925297038836016,0.0019402639492527409
smooth_low_variation,1,5,0.9783657834973424,0.021634216489531097,174.06707630297768,0.0008670614328094681,0.001167478741616997
smooth_low_variation,1,7,0.9976965054979768,0.0023034944888929623,1565.5388657653837,0.00028292600823072683,0.000394812172592797
smooth_low_variation,1,9,0.9999215316555493,7.846833133679693e-05,14518.415319288975,5.2218752463272816e-05,6.982871582806957e-05
smooth_low_variation,1,11,0.9999987445685553,1.2554183200823035e-06,138201.81465116318,6.605010531269695e-06,8.667118384642377e-06
smooth_low_variation,2,3,0.9893640112826321,0.010635988708133828,20.079365091977326,0.0007250619727149249,0.0009700806432641788
smooth_low_variation,2,5,0.999461351552204,0.0005386484385680075,174.06707630297768,0.00016316946784323318,0.00023318885131602452
smooth_low_variation,2,7,0.9999931133963952,6.886594370784983e-06,1565.5388657653837,1.8449663354816815e-05,2.5482755262159766e-05
smooth_low_variation,2,9,0.9999999618617536,3.812902029106045e-08,14518.415319288975,1.3728213280270658e-06,1.9286601766188522e-06
smooth_low_variation,2,11,0.9999999998862107,1.04556820948003e-10,138201.81465116318,7.188898958193091e-08,1.003880886595504e-07
smooth_low_variation,3,3,0.8243741174096564,0.1756258825266987,20.079365091977326,0.0011220119580611185,0.0013565793536134763
smooth_low_variation,3,5,0.9555656285984069,0.04443437133795122,174.06707630297768,0.0005643684739933953,0.0007468493221900158
smooth_low_variation,3,7,0.9958329116820361,0.0041670882543147205,1565.5388657653837,0.00017283017708712216,0.00024059882045634646
smooth_low_variation,3,9,0.9998729613128705,0.0001270386234936025,14518.415319288975,3.0176656227493475e-05,4.1610063268756245e-05
smooth_low_variation,3,11,0.999998158951443,1.840984864080813e-06,138201.81465116318,3.6326899688538088e-06,4.969269849920273e-06
smooth_low_variation,4,3,0.9192961322938581,0.08070386768826805,20.079365091977326,0.0014352941926831606,0.0020522729988816718
smooth_low_variation,4,5,0.9955184976124868,0.0044815023696409126,174.06707630297768,0.00033822489341412705,0.000484849310495566
smooth_low_variation,4,7,0.9999266399078489,7.336007427689673e-05,1565.5388657653837,4.327366060487519e-05,5.858904728729211e-05
smooth_low_variation,4,9,0.9999993966272801,6.03354848928533e-07,14518.415319288975,3.9244622605540326e-06,5.339057688839844e-06
smooth_low_variation,4,11,0.9999999967769841,3.205147647856676e-09,138201.81465116318,2.8603407518069085e-07,3.798749339959074e-07
edge_rolloff,0,3,0.23709555929580015,0.7629044406059291,20.079365091977326,0.0018819348706212093,0.0033452460013190717
edge_rolloff,0,5,0.8062196703685204,0.19378032953320598,174.06707630297768,0.000948471669267756,0.0015345845876202982
edge_rolloff,0,7,0.9784567092796453,0.021543290622078045,1565.5388657653837,0.0003162463619325565,0.0005376844881908564
edge_rolloff,0,9,0.9944653090004598,0.005534690901272849,14518.415319288975,0.00016029360779261256,0.0003171544055966814
edge_rolloff,0,11,0.9966769210623285,0.003323078839414897,138201.81465116318,0.00012420521774195728,0.0002427889736030596
edge_rolloff,1,3,0.828520042812583,0.17147995717683998,20.079365091977326,0.0027198666905951133,0.004395994277829037
edge_rolloff,1,5,0.9564435060939742,0.04355649389545559,174.06707630297768,0.0013707788406954668,0.002156054460146689
edge_rolloff,1,7,0.9951576601671698,0.004842339822256175,1565.5388657653837,0.0004570551081602096,0.0007710564911107271
edge_rolloff,1,9,0.9987559535424295,0.001244046447001291,14518.415319288975,0.00023166436381856937,0.00045536153203579237
edge_rolloff,1,11,0.9992530631690993,0.0007469368203251513,138201.81465116318,0.0001795076119839107,0.00034868508344077735
edge_rolloff,2,3,0.6399025695992507,0.36009743037392045,20.079365091977326,0.0024746755927217137,0.004278312240321413
edge_rolloff,2,5,0.9085340246716026,0.09146597530156872,174.06707630297768,0.0012472055898247753,0.0020867696882780175
edge_rolloff,2,7,0.9898313822775537,0.010168617695615246,1565.5388657653837,0.0004158524109302489,0.0007135341565583979
edge_rolloff,2,9,0.9973875784622007,0.002612421510981555,14518.415319288975,0.00021078023743868865,0.00041073154888765035
edge_rolloff,2,11,0.998431478298231,0.0015685216749464,138201.81465116318,0.00016332532311984262,0.0003180924851200262
edge_rolloff,3,3,0.9184314590023399,0.08156854099281398,20.079365091977326,0.00277225322999792,0.004390013732126171
edge_rolloff,3,5,0.9792813124219466,0.020718687573211995,174.06707630297768,0.0013971810022421836,0.0021126950057426728
edge_rolloff,3,7,0.9976966252988022,0.0023033746963530516,1565.5388657653837,0.0004658583099920059,0.0007759914418345501
edge_rolloff,3,9,0.9994082395627429,0.0005917604324133484,14518.415319288975,0.0002361263818892977,0.00045402696842030766
edge_rolloff,3,11,0.9996447016404618,0.00035529835469286366,138201.81465116318,0.00018296505444637207,0.0003483458514606642
edge_rolloff,4,3,0.8692473844266149,0.13075261556289722,20.079365091977326,0.0023851567836481206,0.0038590718036405226
edge_rolloff,4,5,0.9667883897503858,0.03321161023913157,174.06707630297768,0.0012020892281491631,0.001866402333712335
edge_rolloff,4,7,0.9963077399281758,0.0036922600613401757,1565.5388657653837,0.00040080938359917284,0.0006622138789794575
edge_rolloff,4,9,0.9990514207531761,0.0009485792363442307,14518.415319288975,0.00020315548214257768,0.0003912439959305827
edge_rolloff,4,11,0.9994304643742473,0.0005695356152732793,138201.81465116318,0.00015741719986512198,0.00030272821095161435
local_bump,0,3,0.940991159479598,0.05900884051545455,20.079365091977326,0.002333515251986031,0.004380710913854454
local_bump,0,5,0.9505366755244092,0.04946332447064814,174.06707630297768,0.0021364550228894497,0.003942049619175703
local_bump,0,7,0.9639283296860051,0.03607167030904876,1565.5388657653837,0.0018244637115392667,0.0032583024447155897
local_bump,0,9,0.9780390143261151,0.021960985668974562,14518.415319288975,0.0014235673459188835,0.002412188456679881
local_bump,0,11,0.9886176440317618,0.011382355963446663,138201.81465116318,0.0010248685940960152,0.0016209079635535956
local_bump,1,3,0.8009796412112318,0.19902035875449683,20.079365091977326,0.0016277576514770462,0.0032441685050885027
local_bump,1,5,0.8665305818141331,0.1334694181516021,174.06707630297768,0.0013330053016437232,0.0025618955963665774
local_bump,1,7,0.9205081526895407,0.07949184727618752,1565.5388657653837,0.001028732091237583,0.0018038556403315415
local_bump,1,9,0.9429832095051158,0.057016790460618756,14518.415319288975,0.0008712491681772451,0.0015234531075515017
local_bump,1,11,0.9712329078281604,0.028767092137512166,138201.81465116318,0.0006188551013455994,0.0010729041252290532
local_bump,2,3,0.9030834960574748,0.09691650393249329,20.079365091977326,0.002099822584727603,0.003624654346279572
local_bump,2,5,0.9386393978947197,0.06136060209525261,174.06707630297768,0.0016708156671760726,0.002732420294981568
local_bump,2,7,0.9634770108006985,0.036522989189272666,1565.5388657653837,0.001289041472302105,0.002062381191269065
local_bump,2,9,0.978928743312789,0.021071256677196133,14518.415319288975,0.0009791042855413884,0.0015822516169114692
local_bump,2,11,0.9883551658539401,0.011644834135911733,138201.81465116318,0.0007278642454681927,0.0011752011455679165
local_bump,3,3,0.7758210156939248,0.22417898415083576,20.079365091977326,0.0008116672836766425,0.0015231071930389343
local_bump,3,5,0.8249354687111018,0.17506453113365897,174.06707630297768,0.0007172650589764234,0.0013334520633722785
local_bump,3,7,0.8835944013779172,0.11640559846684433,1565.5388657653837,0.0005848810176427888,0.0010967119986279351
local_bump,3,9,0.9182297336923361,0.08177026615242719,14518.415319288975,0.0004902056338367768,0.0009210497652098302
local_bump,3,11,0.946558620215957,0.0534413796288602,138201.81465116318,0.0003962957575870834,0.0007620009141642655
local_bump,4,3,0.9242638969375668,0.07573610305708049,20.079365091977326,0.002541454392938671,0.004325403855208034
local_bump,4,5,0.9417736393678042,0.058226360626848044,174.06707630297768,0.0022283872554183628,0.0038227654814069565
local_bump,4,7,0.9607784727581429,0.03922152723650751,1565.5388657653837,0.0018289131954190175,0.003081706106219857
local_bump,4,9,0.9764076141334807,0.023592385861153888,14518.415319288975,0.0014184589580571029,0.002265593825115113
local_bump,4,11,0.9858448689066024,0.014155131087979961,138201.81465116318,0.0010987219247834202,0.0017208752784391857
mid_frequency_undulation,0,3,0.6719435678930645,0.3280564320984581,20.079365091977326,0.0042023041672214975,0.004769592950591107
mid_frequency_undulation,0,5,0.7637521252430852,0.2362478747484415,174.06707630297768,0.0035661299139082,0.00453033792494787
mid_frequency_undulation,0,7,0.9378251036570745,0.06217489633444538,1565.5388657653837,0.001829450824569596,0.0023714178896636763
mid_frequency_undulation,0,9,0.9938275922735678,0.0061724077179516465,14518.415319288975,0.0005764219470955604,0.0007355138887403122
mid_frequency_undulation,0,11,0.9995889052837487,0.00041109470802990324,138201.81465116318,0.00014875930763660986,0.00017788388139797177
mid_frequency_undulation,1,3,0.7082558300878049,0.29174416990242125,20.079365091977326,0.0036906420053461485,0.004434745500675629
mid_frequency_undulation,1,5,0.8158814700906636,0.1841185298995642,174.06707630297768,0.002931902856890158,0.003972476115400648
mid_frequency_undulation,1,7,0.9695478663510755,0.03045213363915085,1565.5388657653837,0.0011923662941622252,0.0016596787627405005
mid_frequency_undulation,1,9,0.997409030974657,0.0025909690155847065,14518.415319288975,0.00034780188953283304,0.00044125305207050574
mid_frequency_undulation,1,11,0.9996829988166254,0.00031700117355812303,138201.81465116318,0.00012165536396564555,0.00012182444824579379
mid_frequency_undulation,2,3,0.7420994806404165,0.2579005193346969,20.079365091977326,0.0021744542178045757,0.0027479774739955325
mid_frequency_undulation,2,5,0.8002542248416125,0.1997457751335046,174.06707630297768,0.0019136519883669483,0.002417775004440242
mid_frequency_undulation,2,7,0.9329323619620403,0.0670676380130758,1565.5388657653837,0.0011088700809626978,0.0014150154140145314
mid_frequency_undulation,2,9,0.9930497431380707,0.006950256837054033,14518.415319288975,0.0003569641374202283,0.0004603371880268953
mid_frequency_undulation,2,11,0.9997431585243355,0.0002568414508351533,138201.81465116318,6.862094856303037e-05,9.18869146269757e-05
mid_frequency_undulation,3,3,0.47016425809077755,0.5298357418246757,20.079365091977326,0.0016908292722050526,0.0022217835471056856
mid_frequency_undulation,3,5,0.688637947919617,0.3113620519958364,174.06707630297768,0.001296170020763557,0.0016806775493009485
mid_frequency_undulation,3,7,0.7953585268403919,0.20464147307506494,1565.5388657653837,0.0010508142623358733,0.0012263335367902063
mid_frequency_undulation,3,9,0.9476068299639253,0.05239316995152244,14518.415319288975,0.000531699766665294,0.0006673512252387127
mid_frequency_undulation,3,11,0.9947614911725305,0.0052385087426942934,138201.81465116318,0.00016812525983407814,0.00020519657827368175
mid_frequency_undulation,4,3,0.8286835730705482,0.1713164269237341,20.079365091977326,0.0036980342795285537,0.0052797617780108615
mid_frequency_undulation,4,5,0.9761052799215361,0.02389472007275181,174.06707630297768,0.0013810913404157376,0.0016942580245153881
mid_frequency_undulation,4,7,0.9932131263234293,0.006786873670849702,1565.5388657653837,0.0007360482955561036,0.0008235624758486442
mid_frequency_undulation,4,9,0.9987480672395479,0.0012519327547425736,14518.415319288975,0.00031612724732705925,0.00036874573501675955
mid_frequency_undulation,4,11,0.9998857420034256,0.00011425799092827261,138201.81465116318,9.550249558039513e-05,9.945993579635048e-05
