family,index,global_improvement,high_improvement,low_improvement,diagnosis
edge_rolloff,0,0.07210293426242022,0.17645502326963444,-0.18288317982029423,global improved
edge_rolloff,1,0.09783748762683805,0.16322929462857574,-0.03889914550078928,global improved
edge_rolloff,2,0.09462305770718596,0.2212056794411109,-0.12328154388434581,global improved
edge_rolloff,3,0.09051963031307915,0.24638264090219889,-0.22887767997235753,global improved
edge_rolloff,4,0.10880074083670428,0.15918424506523265,0.003366296916827448,global improved
local_bump,0,0.4136122935060974,0.6239690380389218,-0.3720275917431252,global improved
local_bump,1,0.4271149941005467,0.5757341866241378,-0.3998455411178804,global improved
local_bump,2,0.1042256039168608,0.10246192580970631,0.11111753388182107,global improved
local_bump,3,0.03005360975340906,0.0274940011437856,0.04569640836608508,global improved
local_bump,4,0.11721932253721051,0.28073843397289305,-0.22537063846178937,global improved
mid_frequency_undulation,0,0.19862325649095922,0.3126801513351933,0.11157384134890379,global improved
mid_frequency_undulation,1,0.3588673230748706,0.5735405366454327,-0.14646197608845088,global improved
mid_frequency_undulation,2,0.348494283900906,0.5591491388901739,-0.1310558561489339,global improved
mid_frequency_undulation,3,0.2005970109520761,0.4084622981305606,-0.08488636642210175,global improved
mid_frequency_undulation,4,0.2947149466246782,0.36021694126774884,-0.0811901611496487,global improved
smooth_low_variation,0,0.18921992858282186,0.19920168370526511,0.12986242170553045,global improved
smooth_low_variation,1,0.5630488148510635,0.6503152524211756,0.18124293909523767,global improved
smooth_low_variation,2,0.20225075708497003,0.3375630651308976,-0.17129095267841052,global improved
smooth_low_variation,3,0.2064138723781155,0.32515815554330574,-0.37476352008126174,global improved
smooth_low_variation,4,0.2532270969471128,0.3791510199683188,-0.12235397345709613,global improved
