family,index,round,swap_out_hessian_weight,swap_in_hessian_weight,delta
smooth_low_variation,0,1,0.3004742498932625,0.36086745541991233,0.06039320552664984
smooth_low_variation,0,2,0.29586221312233296,0.6163902764548261,0.3205280633324932
smooth_low_variation,0,3,0.2575344327103034,0.48212219174844984,0.22458775903814643
smooth_low_variation,0,5,0.3191344953158315,0.9319752521673547,0.6128407568515232
smooth_low_variation,0,6,0.32382461501,0.9670511684358499,0.6432265534258499
smooth_low_variation,0,7,0.3058127415658463,0.6829698754564908,0.3771571338906445
smooth_low_variation,0,8,0.3054015618704558,0.8000286293718459,0.4946270675013901
smooth_low_variation,0,9,0.31672589377799865,0.9652589441500228,0.6485330503720241
smooth_low_variation,0,11,0.32948433704999563,0.4785714522060249,0.1490871151560293
smooth_low_variation,1,1,0.30613977761810157,0.3922816592855929,0.08614188166749132
smooth_low_variation,1,2,0.31611077869206444,0.5449776495385293,0.2288668708464649
smooth_low_variation,1,3,0.25,0.44878509769465375,0.19878509769465375
smooth_low_variation,1,4,0.28798692315080665,0.4093355435291658,0.12134862037835914
smooth_low_variation,1,5,0.27789403460301104,0.43829355503564726,0.16039952043263622
smooth_low_variation,1,6,0.33729119475160263,0.8707444279730963,0.5334532332214936
smooth_low_variation,1,7,0.2918768715151274,0.8478953742080316,0.5560185026929042
smooth_low_variation,1,11,0.32669372733470226,1.6151864397518643,1.288492712417162
smooth_low_variation,1,12,0.3590101192680916,0.3938329437859258,0.034822824517834194
smooth_low_variation,2,1,0.30508291915023833,0.3660782259126209,0.06099530676238257
smooth_low_variation,2,2,0.30753734816112327,0.3546318097449315,0.047094461583808256
smooth_low_variation,2,3,0.29463141190198483,0.4454509273775632,0.15081951547557837
smooth_low_variation,2,4,0.27396373393398793,0.7315301487091321,0.4575664147751442
smooth_low_variation,2,5,0.3194805411065787,1.0520046888123993,0.7325241477058206
smooth_low_variation,2,6,0.27107539905322114,0.46317261863055786,0.19209721957733672
smooth_low_variation,2,8,0.2801386210988898,0.556526100916053,0.2763874798171632
smooth_low_variation,2,9,0.2632811608708516,0.5122958339629131,0.2490146730920615
smooth_low_variation,2,10,0.2750213382605544,0.40471196656395453,0.1296906283034001
smooth_low_variation,2,11,0.3256624012875575,0.5332208171502318,0.20755841586267432
smooth_low_variation,2,12,0.3018718466890817,0.5196944397265106,0.21782259303742896
smooth_low_variation,3,1,0.30337558797942893,0.46715912930893827,0.16378354132950934
smooth_low_variation,3,2,0.3270443950780708,0.41027587682458977,0.08323148174651895
smooth_low_variation,3,3,0.3354190520063216,0.45570365095227416,0.12028459894595256
smooth_low_variation,3,4,0.3371853877138743,0.5866361233455654,0.24945073563169107
smooth_low_variation,3,5,0.34937593218622376,0.4139096711670762,0.06453373898085246
smooth_low_variation,3,11,0.3532952815059828,0.7443049200186972,0.3910096385127144
smooth_low_variation,3,12,0.33699590711989086,0.39739801482172377,0.06040210770183291
smooth_low_variation,4,1,0.29662284019647783,0.8759889541080045,0.5793661139115267
smooth_low_variation,4,2,0.315684447542321,0.9170893755437769,0.601404928001456
smooth_low_variation,4,3,0.2927283367485703,0.43650696628653163,0.14377862953796133
smooth_low_variation,4,4,0.32382427758168536,0.36383330820561455,0.04000903062392919
