family,index,global_rmse,local_rmse,local_global_ratio,spearman_hessian_abs_error
smooth_low_variation,0,5.0470506525587996e-05,0.00010083746779655573,1.9979484007245347,0.25193231535696864
smooth_low_variation,1,8.747840410058163e-05,0.00015580845354309488,1.7811076361652434,0.10901359773677365
smooth_low_variation,2,9.570999075164724e-05,0.00015839770487358084,1.6549756575005699,0.4461665097789741
smooth_low_variation,3,0.00010082382667292848,0.00017383974420912536,1.7241930796086504,0.4239432411707938
smooth_low_variation,4,5.5534784291405706e-05,0.00010104865726382251,1.8195561314075421,0.3206306120052115
edge_rolloff,0,0.0010713893554043087,0.001854989828886461,1.7313872118754121,0.5207763943564798
edge_rolloff,1,0.0009557060076189879,0.0015896725138996725,1.6633488763559479,0.4556158013343399
edge_rolloff,2,0.0014557296752513665,0.002525392997138949,1.7347952989299882,0.5596442967913127
edge_rolloff,3,0.0010459661168243806,0.0016819679954967791,1.608052085476096,0.5990768875119807
edge_rolloff,4,0.0012321201957008541,0.002159982265628413,1.753061327267485,0.5679129544633034
local_bump,0,0.0011072750425113501,0.0020147547131856435,1.8195612073185432,0.15408942507218604
local_bump,1,0.0006968577403842665,0.0012483435687185645,1.7913893989757415,0.18880615638116854
local_bump,2,0.000652543988640635,0.0011768229748629507,1.8034385349476316,0.23933243134317744
local_bump,3,0.0003252384455948822,0.0006049706016620438,1.8600833015159488,0.20208119027819196
local_bump,4,0.0008324043919658099,0.0013495135378797957,1.621223471313959,0.30093253206767356
mid_frequency,0,0.0002592759900580054,0.00041930869686775655,1.6172291802798573,0.21348621114081162
mid_frequency,1,0.00019166939723551534,0.00030355124548205113,1.5837230661766002,0.21735811538767455
mid_frequency,2,0.00020535646131440916,0.00033546785192312654,1.6335880048571323,0.11438672239414856
mid_frequency,3,0.0003021430297324219,0.000492464992485977,1.6299068455165238,0.17181177450264823
mid_frequency,4,0.00029160290565961763,0.0005122277496575481,1.756593434824897,0.25882838344414455
