family,mean_local_improvement,median_local_improvement,iqr_local_improvement,positive_local_improvement_ratio
smooth_low_variation,0.5592485058929546,0.5600031530674487,0.09879784858020024,1.0
edge_rolloff,0.4512083853482851,0.4390483898211509,0.06409503590573956,1.0
local_bump,0.5865399221574901,0.6172314232422683,0.11584847317753799,1.0
mid_frequency_undulation,0.6314388360101629,0.7006025091525137,0.058307672901028784,1.0
