degree,mean_trend_energy_ratio,mean_residual_energy_ratio,mean_condition,mean_global_rmse,mean_local_rmse
3,0.7877612949230027,0.21223870499962144,20.079365091977323,0.0021083874136509557,0.003175221136634091
5,0.9053886881236671,0.0946113117989604,174.06707630297765,0.0013662302963453284,0.002057463640922257
7,0.9636008414783811,0.03639915844424369,1565.5388657653834,0.0007525787059553743,0.0011492727044045289
9,0.9857045880446487,0.014295411877982878,14518.415319288973,0.00042207992681230226,0.0006762674393808534
11,0.9933852515032136,0.006614748419414895,138201.8146511632,0.00026436490083843624,0.0004311457801886594
