degree,mean_trend_energy_ratio,mean_residual_energy_ratio,mean_condition
3,0.7877612949230027,0.21223870499962144,20.079365091977323
5,0.9053886881236671,0.0946113117989604,174.06707630297765
7,0.9636008414783811,0.03639915844424369,1565.5388657653834
9,0.9857045880446487,0.014295411877982878,14518.415319288973
11,0.9933852515032136,0.006614748419414895,138201.8146511632
