family,mean_local_improvement,median_local_improvement,iqr_local_improvement,positive_local_improvement_ratio
smooth_low_variation,0.5510090022848523,0.6231598310820392,0.12549291403351337,1.0
edge_rolloff,0.3911437589619954,0.3716570542274235,0.11162023553933925,1.0
local_bump,0.6109876110525182,0.6052173868057289,0.2657172689023282,1.0
mid_frequency_undulation,0.6251291081112441,0.6672784497186421,0.07922956444968088,1.0
