n_points,mean_global_improvement,mean_local_improvement,positive_local_improvement_ratio,wilcoxon_p_local,paired_effect_size_dz
36,0.21997039707234184,0.506255136135146,1.0,9.5367431640625e-07,1.2971857569211052
49,0.28699901646407755,0.5526014580664633,1.0,9.5367431640625e-07,1.3144638886285702
64,0.32545969976121397,0.4924201068576428,1.0,9.5367431640625e-07,1.1206991481274715
81,0.2591009075877809,0.3781945825485227,1.0,9.5367431640625e-07,0.9872565685743017
100,0.26270812626963475,0.3285536041699316,1.0,9.5367431640625e-07,1.1596234430784373
