n_points,mean_global_improvement,mean_local_improvement,positive_local_improvement_ratio,wilcoxon_p_local,paired_effect_size_dz
36,0.17250864727408602,0.5487525174519261,1.0,9.5367431640625e-07,1.4194477850641254
49,0.25799001067808974,0.5567456656591588,1.0,9.5367431640625e-07,1.581932176352996
64,0.31116345281547936,0.49786139873507923,1.0,9.5367431640625e-07,1.1069942327606277
81,0.28496176466493095,0.4061245942162201,1.0,9.5367431640625e-07,1.1501372195925832
100,0.31497396240011766,0.38540081524202346,1.0,9.5367431640625e-07,1.0120311185243227
