method,mean_global_rmse,mean_local_rmse,median_local_rmse,std_local_rmse,mean_condition
afp_exchange_poly_residual_phs,0.0005151633315547872,0.0006660214189609255,0.0005904232676521999,0.0005054139716707034,199.97601300778348
afp_poly_only,0.00154650076278743,0.002179008290300399,0.002141197315424512,0.0012022435708425446,178.88602670674285
afp_poly_residual_phs,0.0006109076831094702,0.001060803786377867,0.0011404027868819199,0.0006196698102801657,178.88602670674285
hessian_weighted_poly_residual_phs,0.0005387052901398564,0.0008235804020636225,0.0007377948945173576,0.0006420873505488896,184.91826765392997
regular_poly_only,0.0024236543604530983,0.00423671660182597,0.004094064817347268,0.0031734638474809145,327.43361648916
regular_poly_residual_phs,0.0016842246407848596,0.0033559667730793724,0.0026213838562049578,0.0031241856565594737,327.43361648916
