n_points,mean_global_rmse_afp,mean_global_rmse_exchange,mean_local_rmse_afp,mean_local_rmse_exchange,mean_global_improvement,mean_local_improvement,positive_local_improvement_ratio,wilcoxon_p_local,paired_effect_size_dz
36,0.001128023784613409,0.0009863249107057925,0.0020215340019068442,0.0013626900171403123,0.09566818563221166,0.33424410482539574,1.0,9.5367431640625e-07,1.384496895090574
49,0.000810684310743576,0.000655987370248487,0.001557708602554189,0.001043895819788103,0.1906549045072709,0.33073892385659165,1.0,9.5367431640625e-07,1.3091582597693392
64,0.0005796804904612667,0.00046626441686794623,0.001137494797894373,0.0008309802533964033,0.2018656918656337,0.28347347753568447,1.0,9.5367431640625e-07,1.185023800007198
81,0.00041852459564173893,0.00035310566390043516,0.0008109229384672352,0.0006260760177703635,0.17313399588534573,0.23435286467693234,1.0,9.5367431640625e-07,0.903569722834659
100,0.00035975248853905385,0.0003148539791341955,0.0007361628935172473,0.0006271567385333401,0.13765203112226992,0.1728461650430118,1.0,9.5367431640625e-07,0.9355968046134017
